fps,latency
40,0
1.79856,0
2.35988,0
2.89519,0
3.40716,0
3.91499,0
4.39319,0
4.83611,0
5.27704,0
5.25762,0
34.7222,0
30.6748,0
29.7619,0
30.581,0
30.581,0
30.03,0
29.3255,0
30.303,0
30.581,0
30.4878,0
29.3255,0
30.303,0
30.7692,0
29.9401,0
29.9401,0
29.3255,0
30.3951,0
30.303,0
30.03,0
29.9401,0
30.03,0
30.03,0
30.03,0
29.9401,0
30.03,0
30.1205,0
29.9401,0
30.03,0
29.4985,0
29.9401,0
29.5858,0
30.03,0
29.4985,0
29.4118,0
29.7619,0
30.303,0
29.4118,0
29.3255,0
29.9401,0
29.8507,0
30.03,0
29.4118,0
30.581,0
29.9401,0
30.3951,0
29.8507,0
30.4878,0
30.6748,0
30.03,0
30.6748,0
30.581,0
30.581,0
29.9401,0
29.9401,0
30.03,0
30.1205,0
30.1205,0
30.03,0
30.03,0
30.03,0
29.6736,0
30.03,0
30.03,0
30.1205,0
30.2115,0
30.03,0
30.03,0
29.3255,0
30.4878,0
29.9401,0
30.2115,0
29.9401,0
29.3255,0
30.303,0
30.03,0
29.9401,0
29.9401,0
30.03,0
30.03,0
30.2115,0
29.4985,0
30.03,0
30.581,0
29.4118,0
30.03,0
30.03,0
29.4118,0
30.4878,0
29.7619,0
29.3255,0
30.4878,0
29.9401,0
29.3255,0
30.4878,0
29.9401,0
29.4118,0
30.581,0
30.03,0
30.1205,0
29.9401,0
30.1205,0
30.1205,0
30.03,0
30.2115,0
30.03,0
30.581,0
29.4118,0
30.03,0
30.2115,0
30.03,0
29.9401,0
29.8507,0
30.581,0
29.4985,0
29.9401,0
29.9401,0
30.3951,0
29.6736,0
29.3255,0
30.581,0
29.5858,0
29.9401,0
30.1205,0
30.03,0
30.03,0
29.7619,0
30.03,0
30.303,0
30.03,0
29.9401,0
30.2115,0
29.9401,0
29.9401,0
30.03,0
30.03,0
29.9401,0
30.03,0
30.03,0
29.9401,0
30.03,0
29.9401,0
30.1205,0
29.4985,0
30.581,0
29.9401,0
30.03,0
29.3255,0
29.8507,0
30.4878,0
30.03,0
29.6736,0
29.9401,0
30.581,0
29.3255,0
29.9401,0
30.03,0
30.03,0
30.1205,0
30.1205,0
29.4118,0
30.303,0
29.7619,0
29.3255,0
30.6748,0
29.4985,0
30.1205,0
30.7692,0
30.03,0
29.4118,0
