fps,latency
41.6667,0
1.8226,0
2.40096,0
2.97089,0
3.5482,0
4.10076,0
4.64037,0
5.16944,0
5.68828,0
5.71429,0
67.5676,0
60.6061,0
61.3497,0
62.1118,0
59.1716,0
58.8235,0
58.8235,0
59.1716,0
59.1716,0
58.8235,0
59.1716,0
61.3497,0
59.8802,0
60.6061,0
60.6061,0
60.9756,0
60.9756,0
58.4795,0
59.5238,0
58.1395,0
59.5238,0
59.8802,0
59.1716,0
58.4795,0
58.8235,0
58.8235,0
60.241,0
62.5,0
61.3497,0
60.9756,0
61.7284,0
59.8802,0
62.5,0
61.3497,0
60.241,0
59.8802,0
59.8802,0
58.8235,0
58.8235,0
60.241,0
59.5238,0
59.8802,0
60.241,0
59.5238,0
59.8802,0
61.3497,0
59.8802,0
60.6061,0
58.4795,0
61.7284,0
60.6061,0
60.241,0
58.8235,0
59.8802,0
58.1395,0
57.4713,0
58.8235,0
59.5238,0
61.3497,0
57.1429,0
58.1395,0
58.8235,0
59.8802,0
59.5238,0
59.8802,0
61.3497,0
59.8802,0
59.8802,0
60.241,0
61.7284,0
60.241,0
59.1716,0
57.4713,0
60.241,0
61.3497,0
59.8802,0
59.8802,0
59.8802,0
60.9756,0
59.1716,0
60.241,0
58.8235,0
62.8931,0
60.241,0
60.6061,0
60.241,0
59.8802,0
59.1716,0
57.4713,0
60.9756,0
59.8802,0
62.1118,0
59.5238,0
60.241,0
59.5238,0
57.1429,0
60.6061,0
60.6061,0
61.7284,0
60.241,0
59.8802,0
59.5238,0
58.4795,0
59.1716,0
60.6061,0
63.6943,0
59.8802,0
60.241,0
61.7284,0
57.8035,0
59.5238,0
61.7284,0
62.8931,0
60.241,0
61.3497,0
59.5238,0
57.4713,0
61.3497,0
57.4713,0
62.1118,0
62.1118,0
58.4795,0
59.1716,0
62.1118,0
58.8235,0
59.8802,0
61.7284,0
58.8235,0
60.9756,0
61.3497,0
59.8802,0
61.7284,0
59.5238,0
59.1716,0
60.9756,0
61.3497,0
62.5,0
61.3497,0
59.1716,0
60.241,0
57.8035,0
57.4713,0
59.1716,0
59.1716,0
58.1395,0
58.1395,0
57.8035,0
59.5238,0
59.8802,0
57.8035,0
60.241,0
60.6061,0
60.9756,0
60.241,0
60.241,0
60.6061,0
59.1716,0
58.4795,0
60.9756,0
61.7284,0
60.9756,0
60.6061,0
59.1716,0
59.5238,0
59.8802,0
59.1716,0
60.6061,0
60.241,0
58.1395,0
58.8235,0
59.8802,0
60.9756,0
61.7284,0
59.1716,0
59.8802,0
61.7284,0
62.1118,0
61.3497,0
62.8931,0
61.3497,0
58.8235,0
59.1716,0
59.1716,0
62.1118,0
59.8802,0
58.1395,0
59.8802,0
60.241,0
60.241,0
59.1716,0
59.1716,0
60.9756,0
61.3497,0
60.241,0
62.1118,0
61.7284,0
57.8035,0
58.8235,0
58.4795,0
60.6061,0
63.2911,0
59.8802,0
60.241,0
59.8802,0
59.8802,0
60.241,0
59.8802,0
60.6061,0
61.3497,0
60.241,0
59.8802,0
58.1395,0
59.5238,0
59.5238,0
59.1716,0
60.241,0
62.5,0
58.4795,0
59.8802,0
59.8802,0
59.8802,0
59.8802,0
56.8182,0
58.8235,0
60.241,0
59.8802,0
58.8235,0
59.8802,0
60.241,0
59.1716,0
58.1395,0
60.9756,0
60.6061,0
60.241,0
59.1716,0
58.8235,0
59.8802,0
60.241,0
55.8659,0
59.5238,0
60.9756,0
59.8802,0
62.1118,0
60.241,0
58.4795,0
59.1716,0
58.8235,0
60.6061,0
63.6943,0
60.241,0
58.1395,0
59.8802,0
59.8802,0
58.8235,0
59.8802,0
58.8235,0
60.6061,0
59.5238,0
59.5238,0
59.8802,0
58.8235,0
59.1716,0
58.8235,0
60.9756,0
61.7284,0
61.7284,0
60.6061,0
58.4795,0
59.5238,0
59.8802,0
62.8931,0
60.9756,0
60.9756,0
59.8802,0
60.241,0
57.8035,0
59.8802,0
60.9756,0
60.9756,0
60.6061,0
60.241,0
59.8802,0
61.7284,0
58.1395,0
59.1716,0
64.1026,0
61.7284,0
60.9756,0
60.9756,0
60.9756,0
61.7284,0
60.6061,0
59.1716,0
60.241,0
62.5,0
60.241,0
59.8802,0
61.7284,0
60.241,0
58.8235,0
59.1716,0
60.9756,0
60.6061,0
61.3497,0
59.5238,0
59.8802,0
59.8802,0
58.8235,0
58.4795,0
60.9756,0
59.1716,0
58.8235,0
58.4795,0
60.241,0
59.1716,0
58.1395,0
58.4795,0
59.8802,0
59.8802,0
58.8235,0
59.8802,0
57.8035,0
59.8802,0
58.8235,0
58.8235,0
60.6061,0
58.4795,0
59.5238,0
59.8802,0
59.5238,0
59.8802,0
60.6061,0
57.8035,0
61.3497,0
60.9756,0
59.8802,0
62.1118,0
60.6061,0
60.6061,0
58.8235,0
59.1716,0
62.5,0
64.5161,0
60.6061,0
59.8802,0
61.3497,0
58.4795,0
57.8035,0
60.6061,0
62.8931,0
59.8802,0
59.8802,0
59.1716,0
60.6061,0
58.1395,0
58.8235,0
62.5,0
63.6943,0
60.241,0
59.8802,0
59.5238,0
60.6061,0
59.8802,0
59.1716,0
63.2911,0
61.3497,0
60.6061,0
59.8802,0
60.241,0
60.6061,0
60.9756,0
59.8802,0
60.9756,0
61.3497,0
60.241,0
59.8802,0
59.8802,0
55.8659,0
58.1395,0
58.1395,0
58.4795,0
58.1395,0
56.8182,0
56.1798,0
56.4972,0
57.8035,0
58.1395,0
60.9756,0
60.241,0
60.241,0
62.1118,0
58.4795,0
60.6061,0
62.5,0
61.7284,0
58.8235,0
60.241,0
61.7284,0
59.8802,0
57.8035,0
60.6061,0
62.1118,0
62.1118,0
58.8235,0
61.3497,0
63.2911,0
60.6061,0
59.1716,0
60.6061,0
62.8931,0
60.6061,0
58.4795,0
59.8802,0
62.5,0
60.241,0
59.8802,0
57.8035,0
61.3497,0
60.9756,0
60.6061,0
59.8802,0
62.8931,0
58.4795,0
59.8802,0
58.8235,0
59.5238,0
62.8931,0
58.8235,0
59.8802,0
59.8802,0
60.241,0
59.8802,0
58.8235,0
59.5238,0
61.3497,0
60.6061,0
60.241,0
62.1118,0
59.8802,0
59.8802,0
57.4713,0
59.5238,0
62.8931,0
60.6061,0
59.8802,0
59.8802,0
57.8035,0
59.5238,0
58.8235,0
58.8235,0
62.5,0
60.241,0
60.241,0
58.1395,0
59.8802,0
59.8802,0
60.9756,0
59.8802,0
60.9756,0
59.5238,0
59.8802,0
60.241,0
58.8235,0
61.7284,0
56.1798,0
58.4795,0
60.9756,0
59.5238,0
59.1716,0
60.6061,0
59.1716,0
56.8182,0
59.5238,0
59.8802,0
63.2911,0
61.7284,0
58.8235,0
57.8035,0
60.9756,0
59.1716,0
59.1716,0
63.2911,0
60.6061,0
57.1429,0
60.9756,0
58.8235,0
60.241,0
62.1118,0
56.4972,0
60.9756,0
61.7284,0
58.8235,0
59.8802,0
63.2911,0
57.1429,0
59.1716,0
59.1716,0
60.9756,0
64.1026,0
60.9756,0
58.1395,0
61.3497,0
57.4713,0
59.5238,0
63.2911,0
60.9756,0
58.8235,0
59.8802,0
59.1716,0
58.4795,0
60.9756,0
59.1716,0
62.5,0
59.1716,0
60.6061,0
59.8802,0
59.8802,0
60.6061,0
59.8802,0
60.6061,0
59.8802,0
59.5238,0
60.241,0
59.1716,0
56.1798,0
60.9756,0
62.1118,0
58.4795,0
59.8802,0
58.1395,0
59.8802,0
59.1716,0
59.5238,0
60.9756,0
60.241,0
59.1716,0
60.241,0
60.241,0
57.8035,0
60.6061,0
59.8802,0
60.9756,0
58.4795,0
60.241,0
62.1118,0
59.8802,0
57.8035,0
58.8235,0
62.1118,0
60.9756,0
58.1395,0
60.9756,0
62.8931,0
60.6061,0
57.8035,0
58.8235,0
61.7284,0
62.1118,0
58.1395,0
59.8802,0
63.2911,0
60.241,0
57.1429,0
59.1716,0
63.2911,0
60.241,0
60.9756,0
60.241,0
60.9756,0
61.3497,0
59.1716,0
58.4795,0
60.9756,0
60.9756,0
59.8802,0
62.1118,0
60.241,0
57.8035,0
60.6061,0
59.8802,0
60.9756,0
61.3497,0
62.5,0
60.241,0
59.8802,0
58.1395,0
59.5238,0
62.1118,0
61.7284,0
59.8802,0
59.5238,0
59.8802,0
59.8802,0
58.4795,0
59.1716,0
59.8802,0
60.6061,0
59.8802,0
59.5238,0
60.241,0
57.8035,0
56.1798,0
59.8802,0
61.3497,0
59.8802,0
62.1118,0
59.8802,0
58.8235,0
56.8182,0
57.8035,0
61.3497,0
62.8931,0
59.8802,0
56.8182,0
60.6061,0
58.8235,0
57.8035,0
59.8802,0
60.241,0
60.6061,0
61.3497,0
60.241,0
57.8035,0
59.5238,0
58.8235,0
58.4795,0
61.3497,0
58.1395,0
61.7284,0
60.6061,0
58.8235,0
57.8035,0
60.9756,0
59.1716,0
60.241,0
62.5,0
56.8182,0
60.241,0
59.8802,0
59.8802,0
57.4713,0
57.8035,0
58.4795,0
62.5,0
59.5238,0
57.8035,0
59.8802,0
61.7284,0
59.1716,0
58.1395,0
62.5,0
60.9756,0
60.241,0
60.9756,0
60.6061,0
60.6061,0
60.6061,0
57.1429,0
61.3497,0
61.3497,0
59.5238,0
63.2911,0
61.3497,0
60.241,0
58.8235,0
59.5238,0
62.5,0
60.9756,0
59.5238,0
61.3497,0
60.6061,0
60.241,0
58.8235,0
59.1716,0
61.7284,0
60.9756,0
60.241,0
60.241,0
60.241,0
59.1716,0
58.8235,0
59.1716,0
60.6061,0
60.6061,0
59.5238,0
59.8802,0
57.8035,0
61.7284,0
58.8235,0
59.1716,0
61.3497,0
60.9756,0
58.8235,0
59.8802,0
59.8802,0
59.8802,0
60.9756,0
57.1429,0
61.3497,0
60.241,0
59.5238,0
60.241,0
59.8802,0
59.8802,0
58.8235,0
59.1716,0
58.8235,0
64.5161,0
59.8802,0
60.241,0
60.9756,0
56.8182,0
58.8235,0
60.9756,0
62.1118,0
59.8802,0
63.2911,0
59.5238,0
60.9756,0
57.8035,0
59.5238,0
60.9756,0
64.1026,0
58.4795,0
60.241,0
62.5,0
60.241,0
58.4795,0
59.1716,0
61.3497,0
60.9756,0
63.2911,0
58.4795,0
62.1118,0
60.241,0
57.1429,0
58.8235,0
61.3497,0
59.8802,0
62.1118,0
59.8802,0
59.8802,0
62.1118,0
59.8802,0
57.4713,0
63.2911,0
60.9756,0
60.6061,0
60.9756,0
60.241,0
59.8802,0
56.4972,0
59.5238,0
58.8235,0
62.5,0
59.8802,0
60.241,0
57.4713,0
60.241,0
59.8802,0
58.8235,0
62.5,0
60.241,0
58.8235,0
59.8802,0
59.8802,0
59.8802,0
62.5,0
58.4795,0
54.9451,0
57.8035,0
59.8802,0
58.8235,0
62.1118,0
56.8182,0
58.8235,0
58.4795,0
56.4972,0
59.8802,0
65.3595,0
59.5238,0
59.8802,0
60.9756,0
59.1716,0
60.6061,0
56.8182,0
58.1395,0
62.5,0
60.241,0
59.1716,0
62.8931,0
58.4795,0
57.4713,0
56.8182,0
61.7284,0
63.6943,0
60.241,0
60.241,0
59.5238,0
60.241,0
59.5238,0
59.1716,0
61.3497,0
63.2911,0
59.8802,0
59.8802,0
59.8802,0
59.8802,0
59.1716,0
58.1395,0
60.241,0
62.8931,0
57.8035,0
60.9756,0
60.9756,0
59.8802,0
60.6061,0
59.5238,0
61.3497,0
61.7284,0
59.8802,0
59.8802,0
60.241,0
58.4795,0
58.1395,0
59.5238,0
62.1118,0
61.3497,0
60.6061,0
60.6061,0
60.6061,0
59.8802,0
60.241,0
59.8802,0
60.9756,0
60.6061,0
59.5238,0
56.8182,0
59.1716,0
59.5238,0
58.4795,0
57.1429,0
62.1118,0
60.6061,0
59.8802,0
57.8035,0
59.8802,0
62.8931,0
58.8235,0
56.8182,0
61.3497,0
63.2911,0
59.8802,0
57.8035,0
59.5238,0
63.2911,0
58.8235,0
56.1798,0
61.7284,0
63.6943,0
57.8035,0
60.9756,0
59.8802,0
61.3497,0
59.8802,0
57.8035,0
62.5,0
62.8931,0
60.9756,0
60.9756,0
63.2911,0
56.8182,0
60.9756,0
57.8035,0
60.9756,0
61.7284,0
59.8802,0
59.8802,0
59.8802,0
59.8802,0
58.8235,0
59.1716,0
59.8802,0
64.9351,0
60.9756,0
60.6061,0
59.8802,0
60.241,0
58.4795,0
58.8235,0
61.3497,0
64.5161,0
60.6061,0
59.8802,0
59.8802,0
58.1395,0
59.5238,0
62.1118,0
61.7284,0
61.3497,0
59.8802,0
60.241,0
59.8802,0
58.4795,0
59.1716,0
54.3478,0
56.8182,0
59.1716,0
59.8802,0
59.8802,0
59.8802,0
56.4972,0
59.5238,0
60.241,0
60.9756,0
69.4444,0
62.1118,0
60.6061,0
59.8802,0
59.8802,0
57.1429,0
62.1118,0
58.8235,0
60.9756,0
57.8035,0
59.8802,0
61.7284,0
57.4713,0
54.9451,0
58.4795,0
59.1716,0
56.8182,0
61.7284,0
57.4713,0
57.4713,0
59.5238,0
64.1026,0
60.241,0
60.241,0
59.1716,0
60.9756,0
60.9756,0
57.4713,0
61.3497,0
59.5238,0
62.1118,0
60.241,0
60.241,0
60.6061,0
59.1716,0
58.8235,0
61.7284,0
62.1118,0
60.6061,0
62.1118,0
58.4795,0
61.7284,0
58.4795,0
58.1395,0
63.2911,0
60.9756,0
60.6061,0
57.8035,0
59.1716,0
60.241,0
60.6061,0
57.4713,0
61.3497,0
61.3497,0
59.5238,0
60.241,0
58.8235,0
59.1716,0
59.1716,0
59.8802,0
61.3497,0
61.3497,0
58.1395,0
59.8802,0
60.6061,0
57.4713,0
57.4713,0
63.2911,0
60.6061,0
59.5238,0
59.1716,0
57.8035,0
62.1118,0
58.8235,0
56.1798,0
62.8931,0
62.8931,0
57.4713,0
60.6061,0
61.3497,0
58.4795,0
60.241,0
59.1716,0
59.1716,0
64.9351,0
60.9756,0
59.1716,0
63.6943,0
60.9756,0
56.4972,0
60.9756,0
62.8931,0
59.5238,0
63.2911,0
60.241,0
57.8035,0
62.1118,0
58.4795,0
56.4972,0
63.6943,0
61.3497,0
59.8802,0
