fps,latency
40,0
1.76678,0
2.29226,0
2.75634,0
3.1864,0
3.5824,0
3.98605,0
4.33526,0
4.65549,0
4.58295,0
17.301,0
15.4083,0
15.0602,0
15.1515,0
14.9031,0
15.3139,0
14.9254,0
14.8148,0
15.0602,0
14.9925,0
14.8368,0
15.1057,0
15.0376,0
14.8588,0
15.2905,0
14.9254,0
14.8368,0
15.1286,0
15.1057,0
14.8368,0
15.083,0
15.0376,0
14.771,0
14.9925,0
14.9477,0
14.9031,0
15.1057,0
15.015,0
14.6843,0
14.9925,0
15.015,0
14.771,0
15.1286,0
15.0602,0
14.7493,0
14.9254,0
15.0376,0
14.8588,0
15.1286,0
15.015,0
14.7493,0
14.9254,0
14.771,0
14.9031,0
15.015,0
15.015,0
14.9925,0
15.0376,0
14.9477,0
15.0376,0
15.1057,0
15.083,0
15.2207,0
14.8148,0
15.0602,0
15.1515,0
15.0602,0
15.0602,0
15.1976,0
15.083,0
15.0602,0
15.1745,0
15.015,0
15.1745,0
15.0376,0
14.881,0
14.7493,0
14.9031,0
14.881,0
14.9477,0
14.9925,0
14.9477,0
14.8368,0
15.1057,0
15.0602,0
14.8588,0
14.881,0
15.083,0
15.015,0
14.7275,0
15.1286,0
14.9254,0
14.9925,0
15.2905,0
15.1976,0
15.2439,0
15.1515,0
15.3846,0
15.0376,0
15.6986,0
15.1745,0
15.0376,0
15.3846,0
15.015,0
14.9031,0
14.9254,0
14.9254,0
14.881,0
14.881,0
14.556,0
14.7929,0
14.9477,0
14.5349,0
14.7275,0
14.771,0
14.771,0
14.7275,0
14.8148,0
14.9254,0
14.881,0
15.015,0
14.8588,0
15.015,0
15.083,0
15.1515,0
14.9254,0
15.015,0
14.9254,0
14.9031,0
15.4083,0
15.015,0
15.1286,0
15.2207,0
15.1976,0
15.3374,0
15.3374,0
15.4083,0
15.2207,0
15.456,0
14.9925,0
15.2905,0
15.2439,0
14.9701,0
15.015,0
14.9254,0
14.7929,0
14.7493,0
14.8148,0
14.7493,0
14.6199,0
14.9477,0
14.8368,0
14.9031,0
15.015,0
14.8148,0
15.0602,0
14.9477,0
15.1057,0
14.6628,0
15.3374,0
14.6628,0
14.8588,0
