      enp3s0            wlp0s20f3     
 KB/s in  KB/s out   KB/s in  KB/s out
 2271.26      1.41      0.23      0.00
 2090.32      0.12      0.27      0.00
 2090.24      0.05      0.27      0.00
 2122.36      0.47      0.33      0.00
 2347.70      0.04      0.23      0.00
 1970.68     13.60      1.39      0.78
 2219.25      0.35      0.23      0.00
 2315.70      0.16      0.28      0.07
 2058.13      0.13      0.23      0.00
 1945.39      0.12      0.23      0.00
 2058.15      0.05      0.27      0.00
 2186.79      0.20      0.27      0.00
 2556.72      0.05      0.27      0.00
 2090.24      0.16      0.23      0.00
 2270.35      2.84      1.38      0.89
 2061.80      4.32      0.48      0.25
 2123.26      0.18      0.23      0.00
 1993.70      0.05      0.23      0.00
 2126.75      1.21      0.75      0.51
 2221.33      0.78      0.34      0.00
 2285.41      0.58      0.62      0.00
 2202.84      0.08      0.23      0.00
 2299.22      0.16      0.23      0.00
 1832.70      0.05      0.23      0.00
 2092.15      0.22      0.23      0.00
 2009.75      0.05      0.23      0.00
 2090.24      0.10      0.23      0.00
 2009.73      0.22      0.28      0.00
 2381.96      0.10      0.08      0.00
 2047.84      0.16      0.08      0.07
 1929.90      0.47      0.56      0.37
 1868.07      0.93      0.27      0.17
