  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:22:13      0.30      0.00      0.30      0.00
15:22:13      0.30      0.00      0.00      0.00
15:22:13      0.00      0.00      0.00      0.00
15:22:14      0.30      0.00      0.00      0.00
15:22:14      0.41      0.67      0.00      0.00
15:22:14      0.30      0.00      0.00      0.00
15:22:14      0.30      0.00      0.00      0.00
15:22:15      0.00      0.00      0.00      0.00
15:22:15      0.30      0.00      0.00      0.00
15:22:15      0.00      0.00      0.00      0.00
15:22:15      0.30      0.00      0.00      0.00
15:22:16      0.30      0.00      0.00      0.00
15:22:16    781.71      8.47      0.00      0.00
15:22:16   1731.66      1.22      0.00      0.00
15:22:16   1322.73      1.22      0.00      0.00
15:22:17   1321.74      1.81      0.00      0.00
15:22:17   1768.74      0.81      0.00      0.00
15:22:17   2029.14      0.93      0.00      0.00
15:22:17   1467.99      0.00      0.00      0.00
15:22:18   1747.89      0.00      0.00      0.00
15:22:18   1596.17      0.00      0.00      0.00
15:22:18   1835.82      0.00      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:22:18   1490.64      0.00      0.00      0.00
15:22:19   1491.69      0.00      0.00      0.00
15:22:19   2198.68      0.18      0.00      0.00
15:22:19   1876.41      0.48      0.00      0.00
15:22:19   1965.25      0.00      0.00      0.00
15:22:20   1426.38      0.00      0.00      0.00
15:22:20   1339.33      0.67      0.00      0.00
15:22:20   1490.58      0.00      0.00      0.00
15:22:20   1941.71      0.00      0.00      0.00
15:22:21   1536.49      0.47      0.00      0.00
15:22:21   1403.83      0.33      0.00      0.00
15:22:21   1789.05      0.18      0.00      0.00
15:22:21   1724.61      0.00      0.00      0.00
15:22:22   1966.97      4.75      1.58      1.05
15:22:22   1573.83      0.85      0.00      0.00
15:22:22   1964.59      0.26      0.00      0.00
15:22:22   1877.55      0.00      0.00      0.00
15:22:23   1555.74      0.40      0.00      0.00
15:22:23   1812.23      0.00      0.00      0.00
15:22:23   2117.46      0.18      0.00      0.00
15:22:23   2092.98      0.00      0.00      0.00
15:22:24   1531.84      0.00      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:22:24   1684.32      0.00      0.00      0.00
15:22:24   1532.35      0.40      0.00      0.00
15:22:24   1813.42      0.00      0.50      0.00
15:22:25   1724.55      0.00      0.00      0.00
15:22:25   1877.10      0.00      0.00      0.00
15:22:25   1597.29      0.00      0.00      0.00
15:22:25   1877.53      0.18      0.30      0.00
15:22:26   1812.07      0.00      0.00      0.00
15:22:26   1468.03      1.06      0.00      0.00
15:22:26   1402.95      0.00      0.00      0.00
15:22:26   1900.73      0.00      0.00      0.00
15:22:27   1490.94      0.00      0.00      0.00
15:22:27   2070.98      0.59      0.00      0.00
15:22:27   1620.91      0.34      0.00      0.00
15:22:27   2390.93      0.79      0.00      0.00
15:22:28   1661.23      0.00      0.00      0.00
15:22:28   1876.78      0.00      0.00      0.00
15:22:28   1876.52      0.00      0.00      0.00
15:22:28   1683.86      0.00      0.00      0.00
15:22:29   1684.10      0.00      0.00      0.00
15:22:29   1531.85      0.00      0.00      0.00
15:22:29   1747.90      0.40      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:22:29   1964.47      0.00      0.00      0.00
15:22:30   2136.08      0.49      0.00      0.00
15:22:30   1877.14      0.00      0.00      0.00
15:22:30   1534.36      1.92      0.00      0.00
15:22:30   1900.22      0.00      0.00      0.00
15:22:31   1467.61      0.00      0.00      0.00
15:22:31   1749.02      0.00      0.00      0.00
15:22:31   1707.69      0.00      0.30      0.00
15:22:31   1339.37      0.00      0.00      0.00
15:22:32   1297.83      1.07      0.00      0.00
15:22:32   1234.93      0.26      0.30      0.29
15:22:32   1187.05      0.00      0.00      0.00
15:22:32   2239.26      0.00      0.00      0.00
15:22:33   1192.68      0.00      0.00      0.00
15:22:33   1298.66      0.00      0.00      0.00
15:22:33   1210.81      0.00      0.00      0.00
15:22:33   1274.53      0.00      0.30      0.00
15:22:34   1298.12      0.48      0.00      0.00
15:22:34   1747.92      0.18      0.00      0.00
15:22:34   1379.88      0.00      0.00      0.00
15:22:34   1748.40      0.00      0.00      0.00
15:22:35   1771.60      0.00      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:22:35    760.29      0.40      0.00      0.00
15:22:35   1361.99      0.00      0.00      0.00
15:22:35   1303.90      0.00      0.00      0.00
15:22:36   1959.79      0.00      0.00      0.00
15:22:36   1490.51      0.00      0.00      0.00
15:22:36   1812.54      0.18      0.00      0.00
15:22:36   1642.66      0.00      0.00      0.00
15:22:37   1661.04      0.00      0.00      0.00
15:22:37   1935.63      0.00      0.00      0.00
15:22:37   1625.14      0.99      0.00      0.00
15:22:37   2134.50      0.64      0.00      0.00
15:22:38   1468.16      0.67      0.00      0.00
15:22:38   1748.31      0.00      0.00      0.00
15:22:38   1555.11      0.18      0.00      0.00
15:22:38   1531.93      0.00      0.00      0.00
15:22:39   1339.29      0.00      0.00      0.00
15:22:39   1555.15      0.00      0.00      0.00
15:22:39   1876.78      0.48      0.00      0.00
15:22:39   1595.87      0.00      0.00      0.00
15:22:40   1748.01      0.00      0.00      0.00
15:22:40   1426.88      0.00      0.00      0.00
15:22:40   1490.97      0.26      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:22:40   1556.22      0.18      0.00      0.00
15:22:41   1772.41      1.86      0.00      0.00
