  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:22:41   1748.24      0.48      0.00      0.00
15:22:41   1836.20      0.00      0.00      0.00
15:22:41   1467.71      0.00      0.00      0.00
15:22:42   1490.95      0.00      4.19      3.40
15:22:42   2070.35      0.00      0.34      0.00
15:22:42   1427.02      0.00      0.00      0.00
15:22:42   1724.55      0.18      0.00      0.00
15:22:43   2006.94      0.00      0.00      0.00
15:22:43   1297.40      0.40      0.00      0.00
15:22:43   1491.07      0.00      0.00      0.00
15:22:43   1964.48      0.00      0.00      0.00
15:22:44   2134.24      0.67      0.00      0.00
15:22:44   2199.30      0.00      0.00      0.00
15:22:44   1467.83      0.00      0.00      0.00
15:22:44   1467.30      0.30      0.19      0.00
15:22:45    625.83      0.93      0.00      0.00
15:22:45      0.00      0.21      0.00      0.00
15:22:45      0.30      0.00      0.00      0.00
15:22:45      0.00      0.00      0.00      0.00
15:22:46      0.30      0.00      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:22:46      0.30      0.00      0.00      0.00
15:22:46      0.00      0.00      0.00      0.00
15:22:46      0.30      0.00      0.00      0.00
15:22:47      0.51      1.02      0.00      0.00
15:22:47      0.00      0.00      0.30      0.41
15:22:47      0.00      0.00      0.00      0.00
15:22:47      0.00      0.00      0.00      0.00
15:22:48      0.46      0.58      0.00      0.00
15:22:48      0.00      0.00      0.00      0.00
15:22:48      0.00      0.00      0.00      0.00
15:22:48      0.00      0.00      0.00      0.00
15:22:49      0.00      0.59      0.00      0.00
15:22:49      0.00      0.00      0.00      0.00
15:22:49      0.00      0.00      0.00      0.00
15:22:49      0.00      0.00      0.00      0.00
