  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:11:57   2199.08      7.11      0.54      0.00
15:11:57   1235.43      0.91      0.00      0.00
15:11:57   1449.82      1.69      0.00      0.00
15:11:58   3051.93      0.30      0.30      0.00
15:11:58   1035.09      0.30      0.00      0.00
15:11:58   1959.01      0.00      0.30      0.00
15:11:58   1895.17      0.00      0.00      0.42
15:11:59   2086.93      0.00      0.00      0.00
15:11:59   1357.03      0.00      0.30      0.00
15:11:59   2086.82      0.00      0.00      0.00
15:11:59   1895.80      1.52      0.46      1.33
15:12:00   1765.75      0.00      0.00      0.00
15:12:00   1163.33      0.48      0.00      0.00
15:12:00   2023.40      0.00      0.00      0.00
15:12:00   1895.16      0.00      0.30      0.00
15:12:01   1443.95      0.00      0.00      0.00
15:12:01    906.44      0.18      0.00      0.00
15:12:01   1572.76      0.00      0.47      0.00
15:12:01   1508.74      0.00      0.00      0.00
15:12:02   1379.90      0.48      0.30      0.00
15:12:02   1420.77      0.16      0.00      0.00
15:12:02   1701.80      0.00      0.16      0.00
15:12:02   1444.33      0.00      0.30      0.00
15:12:03   1701.03      0.00      0.00      0.00
15:12:03   1935.25      0.00      0.30      0.00
15:12:03   2023.11      0.00      0.16      0.00
15:12:03   1958.51      0.40      0.00      0.00
15:12:04   1420.66      0.30      0.30      0.00
15:12:04   1379.58      0.00      0.00      0.00
15:12:04   1895.14      0.18      0.00      0.00
15:12:04   1830.56      0.00      0.50      0.00
15:12:05   1292.97      1.19      0.96      1.05
15:12:05   1830.32      3.57      0.30      0.00
15:12:05   2023.86      0.51      0.00      0.00
15:12:05   2151.46      0.73      0.00      0.00
15:12:06   1678.08      0.21      0.30      0.00
15:12:06   2215.48      0.00      0.00      0.00
15:12:06   1960.63      0.00      0.00      0.00
15:12:06   1637.20      0.00      0.30      0.00
15:12:07   1485.18      0.00      0.00      0.00
15:12:07   1958.80      0.00      0.30      0.00
15:12:07   1957.91      0.00      0.00      0.00
15:12:07   1508.31      0.00      0.00      0.00
15:12:08   1485.55      0.58      0.30      0.00
15:12:08   1960.67      0.00      0.00      0.00
15:12:08   1830.59      0.00      0.00      0.00
15:12:08   1894.48      0.00      0.30      0.00
15:12:09   1870.76      0.00      0.00      0.00
15:12:09   1894.98      0.00      0.30      0.00
15:12:09   1830.16      0.30      0.00      0.00
15:12:09   1701.67      0.00      0.00      0.00
15:12:10   1677.85      0.00      0.30      0.00
15:12:10   1894.48      0.48      0.30      0.41
15:12:10   1637.54      0.00      0.00      0.00
15:12:10   1034.60      0.00      0.30      0.00
15:12:11   1637.91      0.00      0.00      0.00
15:12:11   1444.61      0.18      0.00      0.00
15:12:11   1765.79      0.00      0.30      0.00
15:12:11   1485.16      0.00      0.00      0.00
15:12:12   1765.55      0.00      0.30      0.00
15:12:12   1959.08      0.48      0.00      0.00
15:12:12   1765.20      0.00      0.00      0.00
15:12:12    777.93      0.64      0.30      0.00
15:12:13   1380.70      0.00      0.00      0.00
15:12:13   2151.70      0.00      0.30      0.29
15:12:13   1899.82      0.00      0.00      0.00
15:12:13   1671.69      0.00      0.00      0.00
15:12:14   1315.50      0.00      0.30      0.00
15:12:14   1637.24      0.00      0.00      0.00
15:12:14   1507.93      0.00      0.00      0.00
15:12:14   1548.80      0.58      0.30      0.00
15:12:15   1702.47      0.00      0.00      0.00
15:12:15   1894.32      0.00      0.30      0.00
15:12:15   1484.77      0.00      0.00      0.00
15:12:15   1701.86      0.30      0.16      0.00
15:12:16   1765.94      0.00      0.30      0.00
15:12:16   1871.75      0.00      0.00      0.00
15:12:16   2086.85      0.48      0.16      0.00
15:12:16   1959.51      0.00      0.47      0.00
15:12:17   1508.26      0.00      0.00      0.00
15:12:17   1573.84      0.62      0.00      0.00
15:12:17   1163.62      0.00      0.30      0.00
15:12:17   1379.91      0.00      0.16      0.00
15:12:18   1702.02      0.18      0.30      0.00
15:12:18   1443.73      0.00      0.00      0.00
15:12:18   2127.94      0.00      0.00      0.00
15:12:18   2216.69      0.48      0.30      0.00
15:12:19   2087.01      0.00      0.00      0.00
15:12:19   1896.89      0.00      1.78      0.00
15:12:19   1810.01      0.33      1.47      0.24
15:12:19   1381.50      0.00      0.65      0.00
15:12:20   1320.13      0.00      2.93      0.00
15:12:20    846.89      0.00      2.78      0.00
15:12:20   1705.14      0.40      2.46      0.00
15:12:20   1645.21      0.00      4.57      0.00
15:12:21   1900.13      0.00      4.42      0.00
15:12:21   1684.57      0.18      3.27      0.00
15:12:21   2027.74      0.30      5.71      0.00
15:12:21   2351.56      0.00      3.11      0.00
15:12:22   2092.91      0.00      5.71      0.00
15:12:22   1684.27      0.00      2.78      0.00
15:12:22   1900.65      0.00      3.93      0.00
15:12:22   2093.09      0.00      5.54      0.00
15:12:23   1771.83      0.48      3.77      0.00
15:12:23   1426.67      0.00      5.22      0.00
15:12:23   2414.55      0.00      3.27      0.00
15:12:23   1771.81      0.00      5.24      0.00
15:12:24   1578.58      0.00      4.23      0.00
15:12:24   1491.60      0.00      4.42      0.00
15:12:24   1964.99      0.16      3.77      0.00
