  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:25:52      0.30      0.21      0.30      0.00
15:25:53      0.30      0.00      0.30      0.00
15:25:53      0.30      0.00      0.00      0.00
15:25:53      0.00      0.00      0.30      0.00
15:25:53    716.75      7.86      0.30      0.00
15:25:54   1971.40      2.13      0.30      0.00
15:25:54   1649.71      2.13      0.00      0.00
15:25:54   2036.22      2.13      0.30      0.00
15:25:54   3082.56      0.30      0.00      0.00
15:25:55   2029.46      0.48      0.30      0.00
15:25:55   2052.10      0.00      0.00      0.00
15:25:55   2030.56      1.36      0.00      0.00
15:25:55   2053.55      0.00      0.16      0.00
15:25:56   2159.06      0.37      0.00      0.00
15:25:56   2245.96      0.66      0.00      0.00
15:25:56   1772.73      0.82      0.00      0.00
15:25:56   2052.12      0.00      0.00      0.00
15:25:57   1901.10      0.00      0.00      0.00
15:25:57   2310.13      0.00      0.00      0.00
15:25:57   1772.04      0.00      0.30      0.00
15:25:57   2438.76      0.38      0.00      0.00
15:25:58   2222.60      0.18      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:25:58   2375.57      4.31      0.96      1.05
15:25:58   1643.76      0.99      0.00      0.00
15:25:58   1988.24      0.26      0.00      0.00
15:25:59   2093.67      0.33      0.00      0.00
15:25:59   2245.15      0.00      0.00      0.00
15:25:59   2157.07      0.18      0.00      0.00
15:25:59   2181.73      0.00      0.00      0.00
15:26:00   1707.27      0.00      0.30      0.00
15:26:00   2438.02      0.00      0.30      0.00
15:26:00   2286.03      0.00      0.00      0.00
15:26:00   1988.61      0.00      0.00      0.00
15:26:01   2092.89      0.40      0.00      0.00
15:26:01   2374.71      0.18      0.00      0.00
15:26:01   1964.92      0.00      0.30      0.00
15:26:01   2246.00      0.00      0.30      0.00
15:26:02   1924.31      0.00      0.00      0.00
15:26:02   2158.26      0.00      0.00      0.00
15:26:02   2157.83      0.00      0.00      0.00
15:26:02   2567.75      0.00      0.00      0.00
15:26:03   2029.70      0.18      0.00      0.00
15:26:03   2310.13      0.40      0.30      0.41
15:26:03   2246.02      0.00      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:26:03   2800.62      0.00      0.00      0.00
15:26:04   2116.46      0.00      0.00      0.00
15:26:04   1835.99      0.00      0.30      0.00
15:26:04   2502.42      0.18      0.00      0.00
15:26:04   1900.18      0.40      0.19      0.00
15:26:05   2502.58      0.00      0.30      0.00
15:26:05   2028.79      0.30      0.00      0.00
15:26:05   2116.03      0.00      0.30      0.00
15:26:05   1578.69      0.00      0.00      0.00
15:26:06   2052.23      0.00      0.00      0.00
15:26:06   2286.57      0.18      0.00      0.00
15:26:06   2501.95      0.00      0.00      0.00
15:26:06   2414.86      0.48      0.00      0.00
15:26:07   2438.05      0.00      0.30      0.00
15:26:07   2415.15      0.00      0.00      0.00
15:26:07   2502.09      0.00      0.00      0.00
15:26:07   2286.11      0.00      0.30      0.00
15:26:08   2309.53      0.18      0.00      0.00
15:26:08   2093.42      0.00      0.00      0.29
15:26:08   2309.14      0.00      0.00      0.00
15:26:08   2157.48      0.00      0.00      0.00
15:26:09   2373.80      0.00      0.30      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:26:09   1964.66      0.48      0.00      0.00
15:26:09   2567.17      0.18      0.00      0.00
15:26:09   1900.23      0.00      0.00      0.00
15:26:10   1473.36      0.00      0.00      0.00
15:26:10   1514.99      0.00      0.00      0.00
15:26:10   2566.36      0.30      0.00      0.00
15:26:10   2351.86      0.00      0.00      0.00
15:26:11   2373.83      0.00      0.30      0.00
15:26:11   1345.42      0.66      0.00      0.00
15:26:11   1643.87      0.00      0.00      0.00
15:26:11   2696.46      0.00      0.00      0.00
15:26:12   2544.49      0.00      0.00      0.00
15:26:12   2352.85      0.00      0.00      0.00
15:26:12   1473.20      0.00      0.00      0.00
15:26:12   1795.81      0.00      0.00      0.00
15:26:13   1900.77      0.18      0.00      0.00
15:26:13   2116.88      0.48      0.00      0.00
15:26:13   2350.18      0.00      0.00      0.00
15:26:13   2182.04      0.00      0.00      0.00
15:26:14   2222.36      0.00      0.00      0.00
15:26:14   2374.17      0.00      0.00      0.00
15:26:14   2092.78      0.39      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:26:14   2181.96      0.00      0.00      0.00
15:26:15   1964.63      0.00      0.00      0.00
15:26:15   2053.77      0.00      0.00      0.00
15:26:15   2093.23      0.40      0.00      0.00
15:26:15   2633.49      0.00      0.00      0.00
15:26:16   1900.79      0.30      0.00      0.00
15:26:16   2245.11      0.18      0.00      0.00
15:26:16   1964.32      0.00      0.00      0.00
15:26:16   2180.87      0.00      0.00      0.00
15:26:17   1836.33      0.00      0.00      0.00
15:26:17   2309.44      0.00      0.00      0.00
15:26:17   1773.74      0.48      0.00      0.00
15:26:17    216.70      5.53      0.30      0.00
15:26:18      0.30      0.00      0.00      0.00
15:26:18      0.00      0.00      0.00      0.00
15:26:18      0.00      0.00      0.00      0.00
15:26:18      0.00      0.00      0.00      0.00
15:26:19      0.00      0.00      0.00      0.00
15:26:19      0.00      0.00      0.00      0.00
15:26:19      0.00      0.00      0.00      0.00
15:26:19      0.00      0.00      0.00      0.00
15:26:20      0.00      0.00      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:26:20      0.00      0.00      0.00      0.00
15:26:20      0.00      0.00      0.00      0.00
15:26:20      0.00      0.00      0.00      0.00
15:26:21      0.00      0.00      0.00      0.00
15:26:21      0.00      0.00      0.00      0.00
