  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
19:25:55   1528.55     17.45      0.00      0.00
19:25:55    955.20      0.61      0.00      0.00
19:25:55   1083.05      0.61      0.00      0.00
19:25:56    610.24      0.78      0.00      0.00
19:25:56   1147.83      0.61      0.00      0.00
19:25:56   1981.34      0.91      0.00      0.00
19:25:56   2326.55      0.30      0.00      0.00
19:25:57   1035.09      0.30      0.00      0.00
19:25:57   1508.95      0.00      0.00      0.00
19:25:57   1445.80      0.00      0.00      0.00
19:25:57   1315.77      0.00      0.00      0.00
19:25:58   1356.28      0.48      0.00      0.00
19:25:58   1444.35      0.00      0.00      0.00
19:25:58   1765.93      0.00      0.30      0.00
19:25:58   2023.18      0.00      0.19      0.00
19:25:59   1420.52      0.00      0.00      0.00
19:25:59   1572.87      0.00      0.00      0.00
19:25:59   1636.80      0.00      0.00      0.00
19:25:59   1508.43      0.21      0.00      0.00
19:26:00   1227.64      0.18      0.30      0.00
19:26:00   1896.70      0.00      0.00      0.00
19:26:00   1380.83      0.64      2.33      0.00
19:26:00   2065.49      0.00      0.00      0.00
19:26:01   1765.80      1.05      0.16      0.00
19:26:01   1508.62      0.00      0.30      0.00
19:26:01   1741.86      0.00      0.00      0.00
19:26:01   1315.42      0.00      0.00      0.00
19:26:02   1831.49      0.40      0.00      0.00
19:26:02   1830.31      0.00      0.00      0.00
19:26:02   1829.85      0.00      0.30      0.00
19:26:02   2063.79      0.30      0.16      0.00
19:26:03   1894.80      0.70      0.00      0.29
19:26:03   1830.45      0.18      0.30      0.00
19:26:03   1807.36      0.00      0.00      0.00
19:26:03   1766.58      1.19      0.80      0.90
19:26:04   1765.98      4.04      0.30      0.00
19:26:04   1767.39      0.51      0.00      0.00
19:26:04   1508.85      0.26      0.30      0.00
19:26:04   2127.85      0.00      0.00      0.00
19:26:05   1508.35      0.00      0.00      0.00
19:26:05   1574.78      0.00      0.00      0.00
19:26:05   1379.71      0.00      0.00      0.00
19:26:05   1227.93      0.00      0.00      0.00
19:26:06   1573.02      0.00      0.30      0.00
19:26:06   1443.87      0.48      0.00      0.00
19:26:06   1573.53      0.00      0.00      0.00
19:26:06   1935.03      0.18      0.00      0.00
19:26:07   1765.29      0.00      0.00      0.00
19:26:07   1637.89      0.00      0.30      0.00
19:26:07   1257.12      0.40      0.00      0.00
19:26:07   1865.23      0.00      0.30      0.00
19:26:08   2023.34      0.00      0.00      0.00
19:26:08   1830.61      0.00      0.00      0.00
19:26:08   1508.40      0.00      0.30      0.00
19:26:08   2256.56      0.70      0.00      0.00
19:26:09   1508.59      0.34      0.16      0.24
19:26:09   1572.91      0.00      0.30      0.00
19:26:09   1291.92      0.00      0.00      0.00
19:26:09   1767.26      0.00      0.00      0.00
19:26:10   1509.41      0.18      0.30      0.00
19:26:10   1572.73      0.42      0.00      0.00
19:26:10   1292.20      0.00      0.00      0.00
19:26:10   2665.70      0.00      0.30      0.00
19:26:11   1444.64      0.48      0.00      0.00
19:26:11   1403.76      0.00      0.47      0.00
19:26:11   1396.96      0.00      0.00      0.00
19:26:11   1637.61      0.00      0.00      0.00
19:26:12   1701.63      0.00      0.30      0.00
19:26:12   1543.78      0.00      0.16      0.00
19:26:12   1642.67      0.48      0.00      0.00
19:26:12   2408.56      0.00      0.00      0.00
19:26:13   1830.54      0.00      0.00      0.00
19:26:13   1239.71      0.18      0.00      0.00
19:26:13   1753.86      0.00      0.00      0.00
19:26:13   1830.57      0.00      0.00      0.00
19:26:14   1765.73      0.00      0.30      0.00
19:26:14   1292.19      0.34      0.00      0.00
19:26:14   1894.37      0.00      0.50      0.00
19:26:14   2408.58      0.30      0.00      0.00
19:26:15   1636.81      0.48      0.00      0.00
19:26:15   1485.87      0.00      0.00      0.00
19:26:15   1701.21      0.00      0.16      0.00
19:26:15   1766.00      0.00      0.00      0.00
19:26:16   1514.41      0.00      0.30      0.00
19:26:16   1543.23      0.00      0.00      0.00
19:26:16   1637.93      0.48      0.00      0.00
19:26:16   2281.00      0.18      0.00      0.00
19:26:17   1397.70      0.00      0.00      0.00
19:26:17   1467.42      0.00      0.30      0.00
19:26:17   1637.50      0.00      0.00      0.00
19:26:17   1765.47      0.48      0.00      0.00
19:26:18   1379.74      0.00      0.00      0.00
19:26:18   1485.13      0.00      0.16      0.00
19:26:18   1830.83      0.00      0.50      0.00
19:26:18   2409.15      0.00      0.00      0.00
19:26:19   1380.61      0.91      0.00      0.00
19:26:19   1485.58      0.00      0.00      0.00
19:26:19   1636.82      0.00      0.00      0.00
19:26:19   1765.55      0.00      0.00      0.00
19:26:20   1357.17      0.58      0.30      0.42
19:26:20   1830.49      0.00      0.16      0.00
19:26:20   1765.75      0.00      0.00      0.00
