  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
19:28:43   1409.28      1.52      0.00      0.00
19:28:43   1129.62      1.22      0.00      0.42
19:28:44   1129.53      1.69      0.00      0.00
19:28:44   1128.26      1.22      0.30      0.00
19:28:44   2432.72      0.00      0.00      0.00
19:28:44   1362.86      0.30      0.30      0.00
19:28:45   1380.26      0.00      0.16      0.00
19:28:45   1619.63      0.00      0.00      0.00
19:28:45   1813.81      0.00      0.00      0.00
19:28:45   1772.50      0.00      0.00      0.00
19:28:46   1491.87      0.48      0.30      0.00
19:28:46   1146.10      0.00      0.00      0.00
19:28:46   1578.72      0.18      0.30      0.00
19:28:46   1210.38      0.00      0.00      0.00
19:28:47   1427.20      0.00      0.00      0.00
19:28:47   1853.36      0.00      0.30      0.00
19:28:47   1707.25      0.00      0.00      0.00
19:28:47   1275.55      0.00      0.00      0.00
19:28:48   1555.35      0.00      1.59      1.79
19:28:48   1555.90      0.33      0.00      0.00
19:28:48   1339.03      0.48      0.30      0.66
19:28:48   1683.57      0.18      0.34      0.90
19:28:49   1684.47      0.00      0.30      0.00
19:28:49   1403.81      0.74      0.00      0.24
19:28:49   1837.46      4.08      0.30      0.00
19:28:49   1982.69      0.26      0.00      1.38
19:28:50   1555.69      0.76      0.70      1.38
19:28:50   1683.94      0.00      0.34      0.41
19:28:50   1964.13      0.00      0.00      0.49
19:28:50   1835.94      0.58      0.80      0.00
19:28:51   2052.19      0.00      0.30      0.00
19:28:51   1339.01      0.00      0.00      0.00
19:28:51   1555.28      0.00      0.30      0.00
19:28:51   1900.50      0.00      0.30      0.42
19:28:52   2542.77      0.83      0.43      0.00
19:28:52   1339.61      0.00      0.54      1.38
19:28:52   1316.06      0.00      0.00      0.00
19:28:52   1771.82      0.18      0.30      0.00
19:28:53   1872.85      0.00      0.00      0.00
19:28:53   1467.63      0.00      0.30      0.00
19:28:53   1683.96      0.00      0.30      0.00
19:28:53   1964.34      0.00      0.00      0.00
19:28:54   1619.25      0.00      0.61      0.41
19:28:54   1187.03      0.40      2.60      1.40
19:28:54   1885.03      0.34      2.30      3.56
19:28:54   1848.73      0.00      0.30      2.03
19:28:55   1556.32      0.18      0.00      1.37
19:28:55   1533.17      0.00      0.30      1.27
19:28:55   1923.92      0.00      0.00      0.42
19:28:55   1508.31      0.00      0.30      0.00
19:28:56   1555.48      0.43      0.43      0.00
19:28:56   1726.75      0.00      0.30      1.28
19:28:56   1918.62      0.40      0.30      0.24
19:28:56   1835.09      0.00      0.00      0.00
19:28:57   2023.48      0.18      0.30      0.00
19:28:57   2139.30      0.00      0.00      0.00
19:28:57   1748.24      0.00      0.30      0.42
19:28:57   1596.24      0.00      0.30      0.00
19:28:58   1876.51      0.00      0.00      0.00
19:28:58   1813.26      0.30      0.30      0.00
19:28:58   1750.07      0.48      0.00      1.52
19:28:58   1941.05      0.00      0.50      0.00
19:28:59   2005.32      0.00      0.00      0.00
19:28:59   1877.10      0.18      0.30      0.00
19:28:59   1403.24      0.00      0.30      0.00
19:28:59   2221.38      0.00      0.00      0.00
19:29:00   1123.73      0.43      0.73      0.00
19:29:00   1812.58      0.00      0.00      0.00
19:29:00   1555.56      0.48      0.30      0.00
19:29:00   1491.32      0.00      0.00      0.00
19:29:01   1491.28      0.00      0.30      0.00
19:29:01   1274.81      0.00      0.47      0.00
19:29:01   1146.07      0.18      0.00      0.42
19:29:01   1772.10      0.00      0.30      0.00
19:29:02   1210.04      0.00      0.00      0.00
19:29:02   1491.44      0.48      0.47      0.00
19:29:02   1636.58      0.00      0.00      0.00
19:29:02   1660.49      0.00      0.30      0.00
19:29:03   1452.19      0.00      0.00      0.00
19:29:03   2181.65      0.00      0.47      0.00
19:29:03   1620.35      0.18      0.30      0.29
19:29:03   1556.88      0.00      0.30      0.00
19:29:04   1597.01      1.33      0.49      0.73
19:29:04   1696.01      0.00      0.47      0.00
19:29:04   1800.39      0.00      0.00      0.00
19:29:04   1900.23      0.00      0.30      0.00
19:29:05   2022.79      0.00      0.00      0.00
19:29:05   1146.75      0.30      0.47      0.00
19:29:05   1748.70      0.48      0.00      0.00
19:29:05   1455.95      0.18      0.30      0.00
19:29:06   1590.76      0.00      0.30      0.00
19:29:06   1427.02      0.00      0.16      0.00
19:29:06   1532.56      0.00      0.30      0.00
19:29:06   1964.44      0.00      0.00      0.00
19:29:07   1772.13      0.48      0.30      0.00
19:29:07   1339.35      0.00      0.30      0.00
19:29:07   2544.10      0.00      0.00      0.00
19:29:07   1619.59      0.18      0.30      0.00
19:29:08   1965.12      0.21      0.00      0.00
19:29:08   1402.92      0.00      0.30      0.00
19:29:08   1963.94      0.00      0.30      0.00
19:29:08   1361.80      0.00      0.00      0.00
19:29:09   1812.67      0.00      0.30      0.00
19:29:09   1684.22      0.00      0.30      0.00
19:29:09   1964.80      0.40      0.00      0.42
19:29:09   1771.30      0.18      0.30      0.00
19:29:10   1982.81      0.43      0.73      0.00
19:29:10   1491.05      0.00      0.00      0.00
19:29:10   2245.92      0.00      0.30      0.00
19:29:10   1467.99      0.00      0.00      0.00
19:29:11   1683.08      0.00      0.30      0.00
19:29:11   1684.05      0.00      0.30      0.00
19:29:11   1619.42      0.00      0.00      0.00
19:29:11   1403.14      0.40      0.30      0.00
19:29:12   1929.11      0.49      0.00      0.00
19:29:12   1437.97      0.00      0.30      0.00
19:29:12   1789.44      0.00      0.00      0.00
