  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
17:59:39   2323.30     10.30      0.30      0.00
17:59:39   2476.03      3.65      0.30      0.00
17:59:39   2693.94      3.96      2.91      1.40
17:59:40   2733.91      4.34      2.61      2.98
17:59:40   4791.12      0.30      0.61      1.66
17:59:40   3632.34      0.00      0.30      1.37
17:59:40   2474.54      0.00      0.61      1.94
17:59:41   2280.47      0.18      0.30      0.42
17:59:41   2794.98      0.00      0.30      0.00
17:59:41   2858.05      0.00      0.61      0.00
17:59:41   3117.76      0.18      0.91      1.69
17:59:42   3245.63      0.74      1.26      1.29
17:59:42   2988.30      4.56      0.30      0.00
17:59:42   3719.11      0.44      0.61      0.00
17:59:42   3181.26      0.00      0.30      0.00
17:59:43   3092.35      0.00      0.61      0.42
17:59:43   3052.96      0.34      0.30      0.00
17:59:43   3268.81      0.18      0.61      0.00
17:59:43   3055.99      0.00      0.30      1.28
17:59:44   3052.09      0.00      0.30      0.24
17:59:44   3181.20      0.35      0.61      0.00
17:59:44   3373.71      0.56      0.80      0.00
17:59:44   3051.65      0.00      0.30      0.00
17:59:45   2988.11      0.18      0.61      0.00
17:59:45   3181.45      0.00      0.30      0.00
17:59:45   3309.98      0.00      0.61      0.00
17:59:45   3070.40      0.00      0.61      0.00
17:59:46   3356.43      0.18      0.30      0.00
17:59:46   3052.79      0.40      0.30      0.00
17:59:46   3566.73      0.00      0.30      0.00
17:59:46   2797.29      0.39      0.00      0.00
17:59:47   3246.49      0.00      0.00      0.42
17:59:47   3181.92      0.00      0.30      0.00
17:59:47   2987.79      0.18      0.30      0.00
17:59:47   3181.92      0.00      0.30      0.00
17:59:48   3053.15      0.40      0.00      0.00
17:59:48   3308.73      0.00      0.30      0.00
17:59:48   3631.68      0.18      0.30      0.00
17:59:48   2859.05      0.30      0.00      0.00
17:59:49   3181.32      0.00      0.00      0.00
17:59:49   3181.82      0.18      0.00      0.00
17:59:49   3181.92      0.00      0.30      0.29
17:59:49   3052.65      0.48      0.00      0.00
17:59:50   3180.51      0.18      0.00      0.00
17:59:50   2987.88      0.00      0.00      0.00
17:59:50   3567.32      0.00      0.30      0.00
17:59:50   2924.45      0.00      0.00      0.00
17:59:51   3181.39      0.18      0.30      0.00
17:59:51   3180.83      0.00      0.00      0.00
17:59:51   2987.53      0.48      0.30      0.00
17:59:51   3246.03      1.11      0.63      0.48
17:59:52   3245.07      0.00      0.77      0.24
17:59:52   3249.42      0.43      0.30      0.00
17:59:52   3244.86      0.18      0.00      0.00
17:59:52   3052.09      0.00      0.00      0.00
17:59:53   3051.82      0.30      0.00      0.00
17:59:53   3233.60      0.00      0.30      0.00
17:59:53   3345.45      0.66      0.00      0.00
17:59:53   3180.61      0.00      0.00      0.00
17:59:54   2965.01      0.00      0.00      0.00
17:59:54   3182.43      0.18      0.00      0.00
17:59:54   3566.31      0.00      0.00      0.00
17:59:54   3205.02      0.00      0.00      0.00
17:59:55   3052.09      0.18      0.30      0.42
17:59:55   2989.10      0.58      0.00      0.00
17:59:55   3309.08      1.06      0.00      0.00
17:59:55   3182.09      0.00      0.00      0.00
17:59:56   3052.70      0.18      0.00      0.00
17:59:56   3179.21      0.00      0.00      0.00
17:59:56   3438.58      0.00      0.00      0.00
17:59:56   3181.96      0.18      0.30      0.00
17:59:57   3116.14      0.00      0.00      0.00
17:59:57   3116.59      0.73      0.30      0.00
17:59:57   3180.61      0.66      0.00      0.00
17:59:57   3244.38      0.00      0.00      0.00
17:59:58   3051.21      0.00      0.00      0.00
17:59:58   3309.67      0.00      0.00      0.00
17:59:58   3308.38      0.18      0.00      0.00
17:59:58   3180.10      0.00      0.00      0.00
17:59:59   3117.89      0.00      0.00      0.00
17:59:59   3052.23      0.18      0.00      0.00
17:59:59   3308.66      0.00      0.00      0.00
17:59:59   3116.00      0.48      0.00      0.00
18:00:00   3181.40      0.18      0.00      0.00
18:00:00   3181.63      0.00      0.00      0.00
18:00:00   3503.05      0.00      0.00      0.00
18:00:00   2988.75      0.00      0.30      0.00
18:00:01   3052.37      0.18      0.30      0.00
18:00:01   3181.66      0.00      0.30      0.00
18:00:01   3052.37      0.00      0.30      0.00
18:00:01   3252.21      0.49      0.00      0.00
18:00:02   3110.17      0.48      0.00      0.00
18:00:02   3052.58      0.00      0.00      0.00
18:00:02   3783.73      0.18      0.00      0.00
18:00:02   2989.17      0.00      0.00      0.00
18:00:03   3093.68      0.00      0.30      0.00
18:00:03   3245.13      0.00      0.00      0.00
18:00:03   3140.02      0.18      0.30      0.00
18:00:03   3053.06      0.00      0.00      0.00
18:00:04   3245.50      0.48      0.00      0.00
18:00:04   3116.99      0.18      0.30      0.00
18:00:04   3373.30      0.00      0.50      0.00
18:00:04   2989.03      0.00      0.30      0.29
18:00:05   3116.16      0.18      0.00      0.00
18:00:05   3245.03      0.00      0.00      0.00
18:00:05   3308.99      0.00      0.30      0.00
18:00:05   3053.38      0.00      0.00      0.00
18:00:06   3181.45      0.96      0.30      0.00
18:00:06   3116.34      0.00      0.00      0.00
18:00:06   3696.18      0.00      0.00      0.00
18:00:06   3051.90      0.18      0.30      0.00
18:00:07   3117.42      0.00      0.00      0.00
18:00:07   3117.31      0.00      0.00      0.00
18:00:07   3181.94      0.18      0.00      0.00
18:00:07   3180.64      0.00      0.00      0.00
18:00:08   3051.81      0.00      0.00      0.00
18:00:08   3246.43      0.90      0.00      0.00
18:00:08   3567.92      0.18      0.00      0.00
18:00:08   3052.20      0.00      0.30      0.00
18:00:09   3116.52      0.21      0.00      0.00
18:00:09   3181.88      0.18      0.30      0.00
18:00:09   3052.65      0.00      0.00      0.00
18:00:09   3052.09      0.00      0.30      0.00
18:00:10   3117.01      0.18      0.00      0.00
18:00:10   3054.22      0.70      0.00      0.00
18:00:10   3437.68      0.00      0.00      0.00
18:00:10   3117.26      0.00      0.00      0.00
18:00:11   3244.66      0.18      0.00      0.42
18:00:11   3182.14      0.00      0.00      0.00
18:00:11   3183.44      0.00      0.30      0.00
18:00:11   2989.25      0.18      0.30      0.00
18:00:12   3180.52      0.00      0.00      0.00
18:00:12   3117.38      0.00      0.30      0.00
18:00:12   3589.82      0.18      0.00      0.00
18:00:12   2925.64      0.48      0.30      0.00
18:00:13   3028.47      0.00      0.00      0.00
18:00:13   3332.67      0.00      0.00      0.00
18:00:13   2899.88      0.18      0.00      0.00
18:00:13   3246.37      0.00      0.00      0.00
18:00:14   3078.91      0.00      0.00      0.00
18:00:14   3180.81      0.18      0.30      0.00
18:00:14   3501.99      0.30      0.00      0.00
18:00:14   3116.48      0.48      0.00      0.00
18:00:15   3117.05      0.18      0.00      0.00
18:00:15   3053.58      0.00      0.00      0.00
18:00:15   3156.75      0.00      0.00      0.00
18:00:16   2900.01      0.00      0.00      0.00
18:00:16   2987.65      0.18      0.30      0.00
18:00:16   3244.99      0.00      0.00      0.00
18:00:16   3439.28      0.00      0.61      0.00
18:00:17   3116.44      0.18      0.00      0.00
18:00:17   3181.33      0.00      0.30      0.00
18:00:17   3245.98      0.48      0.30      0.00
18:00:17   2988.37      0.18      0.00      0.00
18:00:18   3053.98      0.00      0.00      0.00
18:00:18   3245.68      0.00      0.00      0.00
18:00:18   2923.50      0.00      0.00      0.00
18:00:18   3437.41      0.18      0.30      0.00
18:00:19   3180.60      0.00      0.00      0.00
18:00:19   3244.82      0.30      0.00      0.00
18:00:19   3117.38      0.18      0.30      0.00
18:00:19   3180.43      0.48      0.00      0.00
18:00:20   2989.70      0.00      0.00      0.00
18:00:20   3180.50      0.18      0.30      0.00
18:00:20   3181.59      0.00      0.00      0.00
18:00:20   3566.41      0.00      0.30      0.00
18:00:21   2987.87      0.00      0.30      0.00
18:00:21   3245.58      0.18      0.00      0.00
18:00:21   3180.97      0.00      0.00      0.00
18:00:21   3180.37      0.00      0.00      0.00
18:00:22   3052.80      0.66      0.00      0.00
18:00:22   3115.43      0.00      0.00      0.00
18:00:22   3029.46      0.00      0.00      0.00
18:00:22   3181.94      0.18      0.00      0.00
18:00:23   3117.39      0.00      0.00      0.00
18:00:23   3246.90      0.00      0.00      0.00
18:00:23   3180.89      0.30      0.30      0.00
18:00:23   3180.39      0.18      0.00      0.00
18:00:24   3052.08      0.00      0.00      0.00
18:00:24   3179.82      1.26      0.00      0.00
18:00:24   3183.53      0.18      0.00      0.00
18:00:24   3503.01      0.00      0.50      0.00
18:00:25   3117.15      0.00      0.00      0.00
18:00:25   3244.69      0.18      0.00      0.00
18:00:25   3069.61      0.00      0.00      0.00
18:00:25   3035.57      0.00      0.00      0.00
18:00:26   3310.12      0.48      0.00      0.00
18:00:26   3116.89      0.18      0.00      0.00
18:00:26   3117.87      0.00      0.00      0.00
18:00:26   3566.47      0.00      0.00      0.00
18:00:27   2989.25      0.18      0.00      0.00
18:00:27   3245.52      0.00      0.00      0.00
18:00:27   3181.80      0.16      0.30      0.00
18:00:27   2988.46      1.05      0.00      0.00
18:00:28   3182.15      0.00      0.77      0.00
18:00:28   3052.71      0.00      0.00      0.00
18:00:28   3311.22      0.00      0.30      0.00
18:00:28   3309.93      0.18      0.30      0.00
18:00:29   3052.38      0.00      0.00      0.00
18:00:29   3117.01      0.00      0.00      0.00
18:00:29   3182.66      0.68      0.00      0.00
18:00:29   3052.67      0.00      0.00      0.00
18:00:30   3310.91      0.48      0.00      0.00
18:00:30   3180.37      0.39      0.00      0.00
18:00:30   3244.67      0.00      0.00      0.00
18:00:30   3503.08      0.00      0.00      0.00
18:00:31   3052.59      0.00      0.30      0.00
18:00:31   3180.48      0.18      0.00      0.00
18:00:31   3183.94      0.00      0.00      0.00
18:00:31   3051.81      0.48      0.00      0.00
18:00:32   3052.16      0.18      0.00      0.00
18:00:32   3180.93      0.30      0.30      0.29
18:00:32   3203.53      0.00      0.00      0.00
18:00:32   3542.96      0.18      0.00      0.00
18:00:33   3077.65      0.00      0.30      0.00
18:00:33   3115.53      0.00      0.30      0.00
18:00:33   3182.27      0.00      0.00      0.00
18:00:33   2987.93      0.18      0.30      0.00
18:00:34   3053.53      0.00      0.00      0.00
18:00:34   3244.59      0.48      0.30      0.00
18:00:34   3116.48      0.18      0.30      0.00
18:00:34   3374.74      0.00      0.00      0.00
18:00:35   3052.09      0.00      0.00      0.00
18:00:35   3181.79      0.18      0.00      0.00
18:00:35   2987.64      0.00      0.00      0.00
18:00:35   3266.77      0.00      0.00      0.00
18:00:36   3309.48      0.00      0.00      0.00
18:00:36   3180.18      0.18      0.00      0.00
18:00:36   3054.73      0.30      0.00      0.00
18:00:36   3566.08      0.48      0.00      0.00
18:00:37   3053.43      0.18      0.00      0.00
18:00:37   3117.55      0.00      0.00      0.00
18:00:37   3117.29      0.00      0.00      0.00
18:00:37   3181.65      0.66      0.00      0.00
18:00:38   3181.99      0.00      0.00      0.00
18:00:38   3117.41      0.00      0.00      0.00
18:00:38   3053.55      0.00      0.30      0.00
18:00:38   3438.70      0.18      0.30      0.00
18:00:39   3053.10      0.00      0.00      0.00
18:00:39   3181.39      0.00      0.00      0.00
18:00:39   2988.56      0.18      0.00      0.00
18:00:39   2965.56      0.00      0.00      0.00
18:00:40   3310.38      0.48      0.00      0.00
18:00:40   3117.10      0.18      0.30      0.00
18:00:40   3053.01      0.00      0.00      0.00
18:00:40   3566.65      0.30      0.30      0.00
18:00:41   2987.76      0.00      0.00      0.00
18:00:41   3180.60      0.18      0.30      0.00
18:00:41   3183.15      0.00      0.30      0.00
18:00:41   3117.07      0.48      0.00      0.00
18:00:42   3180.43      0.18      0.00      0.00
18:00:42   2987.38      0.00      0.00      0.00
18:00:42   3181.70      0.00      0.30      0.00
18:00:42   3570.76      0.18      0.00      0.00
18:00:43   2987.72      0.00      0.30      0.00
18:00:43   3180.84      0.00      0.00      0.42
18:00:43   3116.43      0.00      0.30      0.00
18:00:43   3116.37      0.66      0.00      0.00
18:00:44   3181.70      0.00      0.00      0.00
18:00:44   3187.00      0.00      0.00      0.00
18:00:44   3199.69      0.18      0.00      0.00
18:00:44   3375.04      0.00      0.66      0.00
18:00:45   2989.11      0.00      0.00      0.00
18:00:45   3117.77      0.70      1.59      1.79
18:00:45   3094.14      0.00      0.30      0.66
18:00:45   3116.34      0.48      0.47      0.00
18:00:46   3462.36      0.00      0.00      0.49
18:00:46   3117.01      0.18      0.30      0.00
18:00:46   3117.24      0.00      0.00      0.00
18:00:46   3565.73      0.00      0.61      0.00
18:00:47   2988.06      0.18      0.30      0.00
18:00:47   3246.17      0.91      1.57      2.94
18:00:47   3182.21      1.06      0.84      0.00
18:00:47   2923.42      0.18      0.30      0.49
18:00:48   3181.71      0.00      0.61      0.66
18:00:48   2684.83      0.00      0.30      0.00
18:00:48   3117.13      0.00      0.61      0.00
18:00:48   1730.32      0.93      0.30      0.00
