  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
17:48:26   1066.51      0.77      0.00      0.00
17:48:26    632.42      1.08      0.00      0.00
17:48:26   1709.01      1.12      0.00      0.00
17:48:26   2114.87      0.00      0.00      0.00
17:48:27   1578.97      0.30      0.00      0.00
17:48:27   1427.96      0.00      0.00      0.00
17:48:27   1210.34      0.00      0.00      0.00
17:48:27   1684.65      0.00      0.00      0.00
17:48:28   1450.61      0.00      0.00      0.00
17:48:28   1210.40      0.48      0.00      0.00
17:48:28   1555.47      0.00      0.00      0.00
17:48:28   1619.78      0.18      0.00      0.00
17:48:29   1490.73      0.00      0.00      0.00
17:48:29   1533.74      0.00      0.00      0.42
17:48:29   2478.98      0.00      0.00      0.00
17:48:30   1315.35      0.00      0.00      0.00
17:48:30   1298.31      0.21      1.52      0.91
17:48:30   1789.58      0.48      0.00      0.00
17:48:30   1235.30      0.00      0.00      0.00
17:48:31   1661.06      0.33      0.30      0.00
17:48:31   1749.36      0.39      0.00      0.37
17:48:31   1362.18      0.00      0.00      0.00
17:48:31   1749.50      4.75      1.26      1.05
17:48:32   1967.71      0.52      0.00      0.00
17:48:32   1146.32      0.47      0.00      0.37
17:48:32   2584.30      0.40      0.00      0.00
17:48:32   1403.00      0.00      0.00      0.00
17:48:33   1490.96      0.00      0.00      0.00
17:48:33   1490.64      0.00      0.00      0.37
17:48:33   1685.23      0.39      0.30      0.29
17:48:33   1531.85      0.00      0.00      0.00
17:48:34   1362.04      0.00      0.00      0.00
17:48:34   1964.59      0.00      0.00      0.37
17:48:34   1942.03      0.21      0.00      0.00
17:48:34   1426.84      0.00      0.00      0.00
17:48:35   2134.68      0.40      0.00      0.00
17:48:35   1701.03      0.00      0.00      0.00
17:48:35   1819.07      0.18      2.29      2.29
17:48:35   1596.96      0.00      0.00      0.00
17:48:36   1362.75      0.00      0.00      0.00
17:48:36   1813.08      0.00      0.00      0.00
17:48:36   1402.87      0.00      0.16      0.24
17:48:36   1555.27      0.00      0.00      0.00
17:48:37   1747.93      0.00      0.00      0.00
17:48:37   1813.80      0.40      0.00      0.00
17:48:37   1941.22      0.18      0.00      0.00
17:48:37   1491.15      0.00      0.00      0.00
17:48:38   1748.26      0.00      0.00      0.00
17:48:38   1597.35      0.00      0.00      0.00
17:48:38   1146.05      0.00      0.00      0.00
17:48:38   1683.58      0.00      0.00      0.00
17:48:39   1468.01      0.00      0.00      0.00
17:48:39   1772.43      0.00      0.00      0.00
17:48:39   1648.70      0.40      0.00      0.00
17:48:39   1414.67      0.18      0.00      0.00
17:48:40   1450.31      0.58      0.00      0.00
17:48:40   2432.17      0.00      0.00      0.00
17:48:40   1403.01      0.58      0.00      0.00
17:48:40   1298.96      0.30      0.00      0.00
17:48:41   1467.99      0.00      0.00      0.00
17:48:41   1901.29      0.00      0.00      0.00
17:48:41   1274.75      0.00      0.00      0.00
17:48:41   1707.49      0.48      0.00      0.00
17:48:42   1660.99      0.18      0.00      0.00
17:48:42   1899.76      0.00      0.00      0.00
17:48:42   1210.37      0.00      0.00      0.00
17:48:42   2560.99      0.00      0.00      0.00
17:48:43   1426.33      0.00      0.00      0.00
17:48:43   1772.38      0.00      0.00      0.00
17:48:43   1683.73      0.00      0.00      0.00
17:48:43   1619.07      0.48      0.00      0.00
17:48:44   1339.39      0.18      0.00      0.00
17:48:44   1773.26      0.00      0.00      0.00
17:48:44   1275.33      0.00      0.00      0.00
17:48:44   1555.03      0.00      0.19      0.00
17:48:45   1620.35      0.00      0.00      0.00
17:48:45   2585.37      0.00      0.00      0.00
17:48:45   1082.21      0.00      0.00      0.00
17:48:45   1619.99      0.00      0.00      0.00
17:48:46   1619.34      0.00      0.00      0.00
17:48:46   1812.25      0.58      0.00      0.00
17:48:46   1081.51      0.00      0.00      0.00
17:48:46   1813.04      0.00      0.00      0.00
17:48:47   1340.00      0.00      0.00      0.00
17:48:47   1771.62      0.00      0.00      0.00
17:48:47   1596.19      0.00      0.00      0.00
17:48:47   1298.11      0.00      0.00      0.00
17:48:48   2649.50      0.30      0.00      0.00
17:48:48   1964.29      0.48      0.00      0.00
17:48:48   1748.11      0.18      0.00      0.00
17:48:48   1516.20      0.00      0.00      0.00
17:48:49   1251.04      0.00      0.00      0.00
17:48:49   1491.46      0.00      0.00      0.00
17:48:49   1877.18      0.00      0.00      0.00
17:48:49   1081.86      0.00      0.00      0.00
17:48:50   1943.33      0.48      0.00      0.00
17:48:50   1145.80      0.21      0.00      0.00
17:48:50   2391.18      0.18      0.00      0.00
17:48:50   1620.09      0.00      0.00      0.00
17:48:51   1773.17      0.00      0.00      0.00
17:48:51   1274.65      0.00      0.00      0.00
17:48:51   1532.02      0.00      0.00      0.00
17:48:51   1467.39      0.00      0.00      0.00
17:48:52   1491.00      0.40      0.00      0.00
17:48:52   1363.41      0.43      0.00      0.00
17:48:52   1812.35      0.00      0.00      0.00
17:48:52   1339.06      0.18      0.00      0.00
17:48:53   1619.28      0.00      0.00      0.00
17:48:53   2046.62      0.00      0.00      0.00
17:48:53   1964.53      0.00      0.00      0.00
17:48:53   1554.99      0.00      0.00      0.29
17:48:54   1555.36      0.00      0.00      0.00
17:48:54   1338.57      0.40      0.00      0.00
17:48:54   2029.07      0.00      0.00      0.00
17:48:54   1555.17      0.18      0.00      0.00
17:48:55   1555.45      0.00      0.00      0.00
17:48:55   1403.12      0.30      0.00      0.00
17:48:55   1964.12      0.00      0.00      0.00
17:48:55   2262.63      0.00      0.00      0.00
17:48:56   1812.25      0.00      0.00      0.00
17:48:56   1339.00      0.00      0.00      0.00
17:48:56   1426.68      0.48      0.00      0.00
17:48:56   1596.42      0.00      0.00      0.00
17:48:57   1619.62      0.18      0.00      0.00
17:48:57   1146.02      0.16      0.00      0.00
17:48:57   1683.81      0.00      0.00      0.00
17:48:57   1251.03      0.00      0.00      0.00
17:48:58   1491.06      0.48      0.00      0.00
17:48:58   1379.95      0.00      0.00      0.00
17:48:58   1941.19      0.00      0.00      0.00
17:48:58   1684.06      0.00      0.00      0.00
17:48:59   1555.33      0.00      0.00      0.00
17:48:59   1339.43      0.18      0.00      0.00
17:48:59   1707.00      0.40      0.00      0.00
17:48:59   1123.26      0.00      0.00      0.00
17:49:00   1018.25      0.00      0.00      0.00
17:49:00   1508.57      0.00      0.00      0.00
17:49:00   1426.74      0.00      0.00      0.00
17:49:00   1339.03      0.00      0.00      0.00
17:49:01   1876.52      0.00      0.00      0.00
17:49:01   2479.69      0.00      0.00      0.00
17:49:01   1490.73      0.00      0.00      0.00
17:49:01   1812.45      0.58      0.00      0.00
17:49:02   1146.62      0.00      0.00      0.00
17:49:02   1467.22      0.00      0.00      0.00
17:49:02   1146.08      0.00      0.00      0.00
17:49:02   1813.14      0.30      0.00      0.00
17:49:03   1533.61      0.48      0.00      0.00
17:49:03   1707.47      0.00      0.00      0.00
17:49:03   1403.25      0.00      0.00      0.00
17:49:03   2303.31      0.00      0.00      0.00
17:49:04   1556.20      0.18      0.00      0.00
17:49:04   1749.81      0.00      0.00      0.00
17:49:04   1491.83      0.16      0.00      0.00
17:49:04   1707.80      0.00      0.50      0.00
17:49:05   1338.97      0.48      0.00      0.00
17:49:05   1683.83      0.00      0.00      0.00
17:49:05   1363.72      0.00      0.00      0.00
17:49:05   1747.90      0.00      0.00      0.00
17:49:06   1596.82      0.18      0.00      0.00
17:49:06   2157.19      0.00      0.00      0.00
17:49:06   1315.67      0.93      0.00      0.00
