  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:30:00      0.30      0.00      0.00      0.00
15:30:00      0.61      0.00      0.00      0.00
15:30:00      0.30      0.00      0.00      0.00
15:30:00      0.61      0.00      0.00      0.00
15:30:01      0.30      0.00      0.30      0.00
15:30:01      0.61      0.00      0.61      0.41
15:30:01      0.30      0.00      0.30      0.00
15:30:01      0.84      0.00      0.00      0.00
15:30:02      0.30      0.00      0.00      0.00
15:30:02      0.61      0.00      0.00      0.00
15:30:02      0.30      0.00      0.00      0.00
15:30:02      0.84      0.00      0.77      0.00
15:30:03      0.30      0.00      0.00      0.00
15:30:03   1429.94      8.47      0.30      0.00
15:30:03   2561.51      3.95      0.00      0.00
15:30:03   2476.45      3.65      0.16      0.00
15:30:04   2859.81      3.65      0.30      0.00
15:30:04   4340.00      1.08      0.00      0.00
15:30:04   3373.46      0.00      0.30      0.00
15:30:04   2280.53      0.00      0.19      0.00
15:30:05   2476.72      0.18      0.30      0.00
15:30:05   2731.78      0.00      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:30:05   3438.55      0.00      0.30      0.00
15:30:05   3438.79      0.18      0.30      0.00
15:30:06   3311.22      1.80      0.96      1.05
15:30:06   3246.24      3.57      0.61      0.00
15:30:06   3374.49      0.77      0.30      0.00
15:30:06   3053.54      0.77      0.30      0.00
15:30:07   2794.58      0.00      0.30      0.00
15:30:07   3183.15      0.16      0.61      0.00
15:30:07   2475.00      0.39      0.30      0.00
15:30:07   2473.39      0.00      0.61      0.00
15:30:08   2987.51      0.00      0.30      0.00
15:30:08   2877.89      0.35      0.64      0.00
15:30:08   2993.33      0.56      0.61      0.00
15:30:08   3053.59      0.38      0.00      0.00
15:30:09   3309.01      0.00      0.00      0.00
15:30:09   3117.57      0.18      0.00      0.00
15:30:09   3181.84      0.00      0.00      0.00
15:30:09   3374.56      0.00      0.00      0.29
15:30:10   3438.62      0.18      0.61      0.00
