  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:30:10   3503.95      0.00      0.30      0.00
15:30:10   3116.51      0.00      0.00      0.00
15:30:10   3052.00      0.58      0.30      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:30:11   2859.10      1.27      0.30      0.00
15:30:11   3503.53      0.00      0.00      0.00
15:30:11   3309.98      0.00      0.00      0.00
15:30:11   2667.04      0.18      0.61      0.00
15:30:12   2666.54      1.33      0.00      0.00
15:30:12   3117.73      0.40      0.30      0.00
15:30:12   3439.36      0.18      0.00      0.00
15:30:12   3245.05      0.00      0.30      0.00
15:30:13   3246.39      0.30      0.30      0.00
15:30:13   3245.87      0.18      0.00      0.00
15:30:13   3245.06      0.48      0.30      0.00
15:30:13   2730.52      0.26      0.47      0.00
15:30:14   2344.71      0.18      0.30      0.00
15:30:14   3052.21      0.00      0.30      0.00
15:30:14   3631.05      0.00      0.00      0.00
15:30:14   3309.49      0.48      0.30      0.00
15:30:15   3246.53      0.18      0.30      0.00
15:30:15   2603.23      0.00      0.30      0.00
15:30:15   3116.43      0.00      0.30      0.00
15:30:15   3246.40      0.18      0.00      0.00
15:30:16   3245.24      0.00      0.16      0.00
15:30:16   3245.71      0.00      0.30      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:30:16   3116.83      0.66      0.30      0.00
15:30:16   3052.24      0.00      0.30      0.00
15:30:17   2537.77      0.00      0.30      0.00
15:30:17   3117.82      0.00      0.00      0.00
15:30:17   3527.29      0.49      0.30      0.00
15:30:17   2924.09      0.00      0.30      0.00
15:30:18   2859.29      0.00      0.00      0.00
15:30:18   3285.63      0.18      0.30      0.00
15:30:18   3397.09      0.00      0.00      0.00
15:30:18   3373.27      0.48      0.30      0.00
15:30:19   3245.03      0.18      0.30      0.00
15:30:19   2923.34      0.00      0.00      0.00
15:30:19   2281.77      0.00      0.30      0.00
15:30:19   2858.84      0.00      0.00      0.00
15:30:20   3502.48      0.18      0.30      0.00
15:30:20   3567.44      0.00      0.00      0.00
15:30:20   3309.42      0.00      0.00      0.00
15:30:20   2988.71      0.18      0.00      0.00
15:30:21   2280.38      0.48      0.30      0.00
15:30:21   2279.97      0.00      0.00      0.00
15:30:21   2924.81      0.18      0.00      0.00
15:30:21   3373.00      0.00      0.30      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:30:22   3373.87      0.00      0.00      0.00
15:30:22   3310.16      0.30      0.30      0.00
15:30:22   3310.60      0.18      0.61      0.00
15:30:22   3245.52      0.00      0.30      0.00
15:30:23   3310.47      0.48      0.00      0.00
15:30:23   3246.01      0.18      0.30      0.00
15:30:23   3029.45      0.00      0.00      0.00
15:30:23   3244.97      0.00      0.30      0.00
15:30:24   3181.53      0.18      0.00      0.00
15:30:24   3117.63      0.48      0.00      0.00
15:30:24   2345.98      0.00      0.00      0.00
15:30:24   2282.77      0.00      0.50      0.29
15:30:25   2666.98      0.18      0.00      0.00
15:30:25   2987.42      0.00      0.00      0.00
15:30:25   3244.93      0.00      0.00      0.00
15:30:25   3437.74      0.18      0.00      0.00
15:30:26   3115.98      0.00      0.00      0.00
15:30:26   2344.97      0.00      0.00      0.00
15:30:26   3373.71      0.58      0.00      0.00
15:30:26   3438.01      0.30      0.00      0.00
15:30:27   3888.21      0.00      0.30      0.00
15:30:27   3309.01      0.00      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:30:27   3244.87      0.18      0.30      0.00
15:30:28   3262.62      0.00      0.30      0.00
15:30:28   3314.82      0.21      0.00      0.00
15:30:28   3245.30      0.18      0.30      0.00
15:30:28   3180.88      0.48      0.00      0.00
15:30:29    128.82      0.93      0.30      0.00
15:30:29      0.61      0.00      0.00      0.00
15:30:29      0.30      0.00      0.30      0.00
15:30:29      0.30      0.00      0.30      0.00
15:30:30      0.00      0.00      0.00      0.00
15:30:30      0.00      0.00      0.00      0.00
15:30:30      0.00      0.00      0.00      0.00
15:30:30      1.53      0.89      0.00      0.00
15:30:31      0.00      0.00      0.00      0.00
15:30:31      0.00      0.00      0.00      0.00
15:30:31      0.00      0.00      0.00      0.00
15:30:31      0.00      0.00      0.00      0.00
15:30:32      0.00      0.00      0.00      0.00
15:30:32      0.00      0.00      0.00      0.00
15:30:32      0.00      0.00      0.00      0.00
15:30:32      0.00      0.00      0.00      0.00
