  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
19:35:46   2386.70     10.76      0.54      0.24
19:35:46   2170.10      3.04      0.77      0.00
19:35:46   2475.82      3.65      0.30      0.00
19:35:47   2211.30      2.74      0.00      0.00
19:35:47   4918.25      0.78      0.30      0.00
19:35:47   3502.67      0.00      0.47      0.00
19:35:47   2280.08      0.00      0.61      0.00
19:35:48   2347.79      0.18      0.30      0.00
19:35:48   2601.78      0.00      0.61      0.29
19:35:48   2537.82      0.00      0.30      0.00
19:35:48   2859.03      0.66      0.30      0.00
19:35:49   2731.35      0.74      1.41      0.90
19:35:49   2667.18      3.57      0.00      0.00
19:35:49   3527.37      0.96      0.30      0.00
19:35:49   2924.05      0.00      0.30      0.00
19:35:50   2863.07      0.00      0.00      0.00
19:35:50   2859.06      0.00      0.00      0.00
19:35:50   2990.84      0.18      0.00      0.00
19:35:50   3244.61      0.00      0.00      0.00
19:35:51   3246.72      0.48      0.30      0.00
19:35:51   3221.95      0.35      0.30      0.00
19:35:51   3332.46      0.00      0.00      0.00
19:35:51   3120.06      0.00      0.61      0.00
19:35:52   3245.15      0.18      0.00      0.00
19:35:52   3180.71      0.00      0.61      0.00
19:35:52   3182.00      0.00      0.00      0.00
19:35:52   3246.29      0.00      0.30      0.00
19:35:53   3249.00      0.18      0.00      0.00
19:35:53   3245.54      0.40      0.30      0.00
19:35:53   3632.61      0.00      1.75      0.83
19:35:53   3308.86      0.18      0.60      1.01
19:35:54   3180.71      0.00      1.55      0.67
19:35:54   3247.14      0.00      0.57      0.00
19:35:54   3309.47      0.18      0.00      0.00
19:35:54   3246.15      0.26      0.30      0.00
19:35:55   3245.00      0.83      0.00      0.00
19:35:55   3244.84      0.00      0.73      0.00
19:35:55   3632.13      0.18      0.30      0.00
19:35:55   3245.24      0.30      0.30      0.00
19:35:56   3246.13      0.00      0.00      0.00
19:35:56   3244.86      0.18      0.30      0.00
19:35:56   3245.24      0.00      0.00      0.00
19:35:56   3245.82      0.00      0.47      0.00
19:35:57   3246.64      0.18      0.30      0.00
19:35:57   3245.78      0.48      0.30      0.00
19:35:57   3504.94      0.00      0.00      0.00
19:35:57   3117.41      0.00      0.30      0.00
19:35:58   3246.53      0.18      0.30      0.00
19:35:58   3245.67      0.00      0.30      0.00
19:35:58   3181.43      0.58      0.30      0.00
19:35:58   3245.10      0.18      0.66      0.00
19:35:59   3246.05      0.58      0.61      0.00
19:35:59   3245.85      0.00      0.30      0.00
19:35:59   3631.00      0.66      0.30      0.00
19:35:59   3180.52      0.00      0.00      0.00
19:36:00   3245.15      0.30      0.30      0.00
19:36:00   3203.99      0.00      0.00      0.00
19:36:00   3093.19      0.18      0.00      0.00
19:36:00   3244.79      0.00      0.61      0.29
19:36:01   3268.49      0.00      0.00      0.00
19:36:01   2771.56      0.18      0.30      0.00
19:36:01   3461.88      0.00      0.00      0.00
19:36:01   2858.99      0.48      0.30      0.00
19:36:02   3052.08      0.18      0.00      0.00
19:36:02   3182.25      0.00      0.30      0.00
19:36:02   3116.49      0.00      0.30      0.00
19:36:02   3244.79      0.00      0.30      0.00
19:36:03   3180.67      0.18      0.30      0.00
19:36:03   3309.16      0.48      0.00      0.00
19:36:03   3568.18      0.00      0.00      0.00
19:36:03   3246.31      0.18      0.30      0.00
19:36:04   3246.04      0.00      0.00      0.00
19:36:04   3116.18      0.30      0.00      0.00
19:36:04   3052.67      0.18      0.30      0.00
19:36:04   3180.65      0.00      0.00      0.00
19:36:05   2923.23      0.00      0.00      0.00
19:36:05   2988.37      0.00      0.30      0.00
19:36:05   3437.67      0.18      0.30      0.00
19:36:05   2923.43      0.48      0.30      0.00
19:36:06   3180.69      0.21      0.30      0.00
19:36:06   3245.02      0.18      0.30      0.00
19:36:06   3245.41      0.00      0.61      0.00
19:36:06   3246.56      0.00      0.30      0.00
19:36:07   3244.92      0.18      0.30      0.00
19:36:07   3246.01      0.00      0.30      0.00
19:36:07   3566.70      0.00      0.30      0.00
19:36:07   3245.37      0.00      0.00      0.00
19:36:08   3245.70      0.66      0.61      0.00
19:36:08   2859.14      0.00      0.30      0.00
19:36:08   2988.97      0.30      0.30      0.00
19:36:08   3117.38      0.18      0.30      0.00
19:36:09   3247.10      0.00      0.30      0.00
19:36:09   3246.09      0.00      0.00      0.00
19:36:09   3567.51      0.18      0.00      0.00
19:36:09   3246.09      0.00      0.47      0.00
19:36:10   3334.09      0.00      0.00      0.00
19:36:10   3248.04      0.00      0.00      0.00
19:36:10   3157.44      0.82      0.30      0.00
19:36:10   3334.48      0.00      0.00      0.00
19:36:11   3245.97      0.00      0.00      0.00
19:36:11   3251.82      0.18      0.00      0.00
19:36:11   3537.36      0.00      0.30      0.00
19:36:11   3397.35      0.00      0.00      0.00
19:36:12   3244.74      0.18      0.47      0.00
19:36:12   3245.11      0.00      0.00      0.00
19:36:12   3244.75      0.00      0.61      0.00
19:36:12   3246.44      0.30      0.30      0.00
19:36:13   3245.63      0.66      0.30      0.00
19:36:13   3244.97      0.00      0.00      0.00
19:36:13   3584.14      0.00      0.61      0.00
19:36:13   3357.37      0.18      0.30      0.00
19:36:14   3244.67      0.00      0.30      0.00
