  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
16:21:36   1168.71      9.41      0.30      0.00
16:21:36    696.73      0.61      0.00      0.00
16:21:36    503.64      1.08      0.00      0.00
16:21:36    439.51      0.61      0.00      0.00
16:21:37   1059.47      0.30      0.30      0.00
16:21:37    866.23      0.00      0.00      0.00
16:21:37    842.82      0.00      0.00      0.00
16:21:37   1188.33      0.48      0.30      0.00
16:21:38   1599.10      0.93      0.00      0.00
16:21:38   1340.55      4.61      1.52      1.05
16:21:38   2030.72      0.77      2.95      0.00
16:21:38   1660.91      0.00      0.30      0.00
16:21:39   1966.85      0.00      0.00      0.00
16:21:39   1748.59      0.00      0.30      0.00
16:21:39   2441.46      0.18      1.57      0.00
16:21:39   1877.18      0.00      0.30      0.00
16:21:40   2093.63      0.48      0.36      0.00
16:21:40   1942.03      0.73      0.30      0.00
16:21:40   2094.18      0.34      2.08      0.00
16:21:40   1814.41      0.00      0.36      0.00
16:21:41   2070.43      0.16      0.30      0.00
16:21:41   1659.71      0.35      0.00      0.00
16:21:41   2545.78      1.19      1.62      1.05
16:21:41   3057.56      3.54      0.59      0.00
16:21:42   2006.34      0.51      1.09      0.00
16:21:42   2047.60      0.65      1.19      0.00
16:21:42   1748.51      0.00      0.00      0.00
16:21:42   1187.95      0.42      0.66      0.00
16:21:43   1772.16      0.00      0.42      0.00
16:21:43   1750.33      0.78      1.57      0.00
16:21:43   2287.19      0.18      0.66      0.00
16:21:43   1900.43      0.00      0.00      0.00
16:21:44   1900.19      0.00      0.30      0.00
16:21:44   2094.08      0.41      0.66      0.00
16:21:44   2479.66      0.26      0.41      0.00
16:21:44   1942.60      0.37      0.30      0.00
16:21:45   1684.94      0.00      1.57      0.00
16:21:45   2287.04      0.18      0.00      0.00
16:21:45   1771.75      0.00      0.66      0.00
16:21:45   1789.72      0.48      0.30      0.00
16:21:46   2247.42      0.00      1.62      0.00
16:21:46   1725.27      0.51      0.30      0.00
16:21:46   1812.48      0.34      0.82      0.00
16:21:46   1876.53      0.00      0.00      0.00
16:21:47   2800.05      0.34      1.00      0.00
16:21:47   2478.63      0.18      0.00      0.00
16:21:47   2263.45      0.00      0.30      0.00
16:21:47   2759.52      0.00      1.57      0.00
16:21:48   2286.41      0.40      0.66      0.00
16:21:48   2438.80      0.93      0.26      0.00
16:21:48   2092.90      0.30      0.30      0.00
16:21:48   1813.69      0.00      1.93      0.00
16:21:49   1595.79      0.18      0.00      0.00
16:21:49   1917.81      0.00      0.30      0.00
16:21:49   1531.79      0.00      0.52      0.00
16:21:49   1596.05      0.00      0.30      0.00
16:21:50   1941.17      0.00      0.00      0.00
16:21:50   1748.27      0.88      0.30      0.00
16:21:50   2133.79      0.26      0.88      0.00
16:21:50   1748.62      1.86      0.26      0.00
16:21:51   1467.44      0.00      0.30      0.00
16:21:51   1595.89      0.00      0.00      0.00
16:21:51   1940.99      0.66      0.47      0.00
16:21:51   2028.75      0.00      0.00      0.00
16:21:52   2069.45      0.00      0.30      0.00
16:21:52   2157.19      0.85      0.82      0.00
16:21:52   2285.66      0.00      0.00      0.00
16:21:52   2092.61      0.00      0.30      0.00
16:21:53   2286.17      0.00      0.30      0.00
16:21:53   1941.36      0.18      0.00      0.00
16:21:53   2071.67      0.00      0.30      0.00
16:21:53   2029.59      0.40      0.30      0.00
16:21:54   1940.85      0.00      0.00      0.00
16:21:54   2825.04      0.30      0.50      0.00
16:21:54   2070.10      0.00      0.47      0.00
16:21:54   1684.12      0.00      0.00      0.00
16:21:55   1727.30      0.00      0.30      0.00
16:21:55   2157.58      0.18      0.00      0.00
16:21:55   2005.13      0.00      0.47      0.00
16:21:55   2309.34      0.00      0.30      0.00
16:21:56   2135.05      0.48      0.30      0.00
16:21:56   2029.66      0.41      0.00      0.00
16:21:56   1959.07      0.26      0.57      0.00
16:21:56   1940.56      0.00      0.30      0.00
16:21:57   1533.93      0.00      0.30      0.00
16:21:57   1467.22      0.39      0.00      0.00
16:21:57   2310.48      0.00      0.30      0.00
16:21:57   2350.34      0.48      0.30      0.00
16:21:58   2005.69      0.00      0.00      0.00
16:21:58   2736.30      0.85      0.82      0.00
16:21:58   2672.64      0.00      0.30      0.00
16:21:58   2263.47      0.00      0.00      0.00
16:21:59   2174.95      0.43      0.30      0.00
16:21:59   1724.80      0.18      0.43      0.29
16:21:59   2028.56      0.78      0.30      0.00
16:21:59   1876.90      0.35      0.30      0.00
16:22:00   2028.99      0.00      0.00      0.00
16:22:00   1684.39      0.00      0.47      0.00
16:22:00   1750.55      0.00      0.30      0.00
16:22:00   2392.56      0.00      0.00      0.00
16:22:01   2760.27      0.43      0.30      0.00
16:22:01   2006.24      0.18      0.59      0.00
16:22:01   2864.58      0.48      0.30      0.00
16:22:01   2286.35      0.00      0.30      0.42
16:22:02   2311.57      0.00      0.30      0.00
16:22:02   2094.73      0.41      0.16      0.00
16:22:02   2245.40      0.26      0.71      0.00
16:22:02   1748.20      0.00      0.30      0.00
16:22:03   1964.49      0.18      0.00      0.00
16:22:03   2287.76      0.00      0.00      0.00
16:22:03   2888.16      0.00      0.30      0.00
16:22:03   1163.65      0.40      0.00      0.00
16:22:04   1748.17      0.00      0.00      0.00
16:22:04   1749.00      0.51      0.00      0.00
16:22:04   1790.10      0.34      0.51      0.00
16:22:04   1941.48      0.30      0.30      0.00
16:22:05   1380.46      0.00      0.00      0.00
16:22:05   2520.04      0.18      0.00      0.00
16:22:05   2151.91      1.17      0.30      0.00
16:22:05   2398.18      0.00      0.30      0.00
16:22:06   2224.56      0.48      1.79      0.00
16:22:06   2439.25      0.00      1.57      0.00
16:22:06   1445.33      0.16      2.19      0.00
16:22:06   2415.05      0.00      0.66      0.00
16:22:07   2095.96      0.18      1.26      0.00
16:22:07   1942.09      0.00      2.45      0.00
16:22:07   1771.55      0.48      0.00      0.00
16:22:07   2092.85      0.00      0.30      0.00
16:22:08   1813.90      0.00      1.02      0.00
16:22:08   2544.16      0.41      0.00      0.00
16:22:08   1660.43      0.26      1.04      0.00
16:22:08   2096.11      0.00      1.57      0.00
16:22:09   2159.81      0.18      1.26      0.00
16:22:09   2759.90      0.00      1.02      0.00
16:22:09   1492.48      0.00      1.73      0.00
16:22:09   2247.87      0.40      2.83      0.00
16:22:10   2222.15      0.30      1.08      0.00
16:22:10   2006.69      1.22      0.82      0.00
16:22:10   2610.27      0.00      1.24      0.00
16:22:10   2158.69      0.00      1.38      0.00
